,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.94,0.37,0.39,0.5,0.42,0.26,0.27,0.25,0.42,0.28,0.28,0.25,0.24,0.14,0.23,0.19
f_1,0.7,0.94,0.39,0.37,0.36,0.22,0.28,0.23,0.23,0.25,0.15,0.25,0.23,0.16,0.18,0.17
d_1,0.43,0.51,0.94,0.35,0.35,0.27,0.3,0.23,0.21,0.4,0.25,0.3,0.23,0.2,0.24,0.2
c_1,0.34,0.45,0.41,0.94,0.59,0.31,0.27,0.23,0.24,0.11,0.25,0.18,0.24,0.18,0.2,0.17
b_1,0.42,0.47,0.48,0.38,0.94,0.48,0.26,0.26,0.28,0.26,0.2,0.13,0.29,0.19,0.2,0.16
a_1,0.49,0.54,0.51,0.47,0.37,0.94,0.36,0.34,0.3,0.32,0.33,0.28,0.26,0.19,0.25,0.16
h_1,0.69,0.8,0.69,0.67,0.57,0.42,0.74,0.45,0.37,0.41,0.35,0.37,0.27,0.24,0.42,0.26
g_1,0.61,0.55,0.96,0.79,0.62,0.38,0.44,0.75,0.37,0.39,0.6,0.42,0.38,0.32,0.25,0.26
d_0,0.61,0.76,0.39,1.23,0.63,0.49,0.49,0.47,0.64,0.36,0.45,0.33,0.41,0.28,0.34,0.3
c_0,0.78,0.74,0.72,0.66,0.56,0.39,0.52,0.5,0.47,0.64,0.52,0.69,0.46,0.34,0.37,0.37
f_0,0.6,0.57,0.8,0.83,0.7,0.48,0.48,0.38,0.47,0.42,0.66,0.4,0.37,0.63,0.33,0.33
b_0,0.77,0.72,0.72,0.85,0.51,0.53,0.5,0.45,0.48,0.39,0.48,0.65,0.48,0.35,0.44,0.55
h_0,0.82,1.02,0.8,0.81,0.63,0.48,0.38,0.61,0.46,0.42,0.49,0.39,0.36,0.32,0.52,0.32
e_0,0.57,0.92,0.83,0.95,0.66,0.63,0.63,0.51,0.59,0.52,0.36,0.4,0.51,0.65,0.35,0.33
g_0,0.71,0.83,1.1,0.87,0.69,0.56,0.51,0.48,0.46,0.48,0.7,0.46,0.39,0.39,0.35,0.31
a_0,0.79,0.93,0.93,0.92,0.57,0.43,0.62,0.62,0.47,0.49,0.46,0.45,0.54,0.43,0.43,0.6
