,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.71,0.91,1.09,0.91,0.75,0.52,0.58,0.39,0.42,0.4,0.45,0.36,0.28,0.33,0.34
f_1,1.42,1.0,0.98,0.88,0.87,0.56,0.41,0.4,0.44,0.39,0.41,0.34,0.33,0.31,0.34,0.24
d_1,1.1,1.02,1.0,0.92,0.87,0.73,0.5,0.46,0.41,0.62,0.4,0.44,0.33,0.34,0.26,0.29
c_1,0.92,1.14,1.09,1.0,1.38,0.62,0.57,0.35,0.44,0.46,0.44,0.36,0.39,0.34,0.34,0.26
b_1,1.1,1.15,1.15,0.73,1.0,1.32,0.59,0.56,0.46,0.61,0.51,0.51,0.35,0.39,0.31,0.49
a_1,1.34,1.78,1.36,1.61,0.75,1.0,0.55,0.59,0.76,0.53,0.45,0.5,0.49,0.31,0.46,0.38
h_1,1.89,2.49,2.01,1.8,1.65,1.74,1.0,0.85,1.07,0.79,0.86,0.75,0.7,0.65,0.88,0.91
d_0,1.76,2.47,2.25,2.86,1.86,1.68,1.24,1.0,0.94,0.89,0.93,0.95,0.91,0.78,0.79,0.8
g_1,2.52,2.24,2.41,2.25,2.08,1.39,0.93,1.04,1.0,0.94,0.98,1.0,0.7,0.71,0.74,0.8
c_0,2.35,2.57,1.73,2.27,1.76,2.02,1.3,1.02,1.04,1.0,1.37,1.16,0.99,0.76,1.04,0.85
b_0,2.44,2.28,2.62,2.25,2.03,2.12,1.15,1.14,1.02,0.72,1.0,0.97,0.84,0.93,0.82,0.79
f_0,2.17,3.0,2.39,2.84,2.0,1.96,1.22,1.08,1.0,0.87,1.06,1.0,0.89,0.88,0.67,1.01
h_0,2.78,3.05,3.02,2.66,2.8,1.96,1.43,1.09,1.46,1.01,1.25,1.1,1.0,0.77,0.99,0.91
a_0,3.27,3.65,2.91,2.89,2.51,,1.55,1.26,1.45,1.2,1.08,1.14,1.32,1.0,1.07,1.07
g_0,2.8,2.89,3.91,2.93,3.23,2.14,1.14,1.23,1.4,0.93,1.17,1.49,0.99,0.94,1.0,1.13
e_0,2.64,4.02,3.49,3.78,2.17,2.53,1.07,1.15,1.26,1.15,1.19,0.96,1.05,0.99,0.87,1.0
