,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,5.52,1.15,0.74,0.59,0.51,0.56,2.38,2.27,1.79,2.86,2.46,0.5,3.35,1.9,2.84,2.22
e_1,0.79,5.59,0.54,0.41,0.55,0.52,2.2,5.52,2.37,2.62,3.74,3.12,4.52,0.8,4.21,4.09
c_1,0.56,0.58,6.3,0.64,1.19,0.63,2.02,2.67,1.99,0.55,1.84,2.52,3.76,2.55,2.48,4.86
d_1,0.66,0.62,0.44,7.09,0.5,0.45,2.43,0.58,2.19,6.27,3.33,2.51,5.5,3.44,2.49,5.01
b_1,0.57,0.54,0.52,0.66,7.5,1.29,1.78,2.78,2.11,2.51,0.64,3.62,4.69,3.68,2.02,4.42
a_1,0.63,0.57,0.58,0.72,0.45,10.35,2.02,3.19,2.07,2.33,3.02,3.17,5.38,3.92,0.85,4.37
h_1,1.41,0.98,1.0,1.0,1.1,0.81,14.82,4.34,4.93,4.78,4.32,4.79,2.51,6.07,4.37,8.2
d_0,1.2,0.85,2.13,0.36,0.81,0.71,4.03,12.56,4.56,4.54,5.91,5.04,8.54,6.22,6.1,8.5
g_1,1.0,0.71,0.91,1.7,1.17,0.82,3.53,4.35,19.13,5.82,5.15,7.56,6.15,5.61,5.47,1.98
c_0,1.39,1.01,0.59,1.43,0.7,0.8,3.72,4.76,4.06,14.95,12.34,5.97,7.87,5.2,6.79,7.68
b_0,1.22,1.14,1.04,1.18,0.39,0.92,5.01,5.46,4.04,5.27,17.37,6.04,6.69,6.1,11.83,8.24
f_0,0.41,0.95,1.41,1.12,1.24,1.18,4.51,6.5,4.36,4.4,6.22,18.82,7.47,11.82,4.86,10.41
h_0,1.22,0.92,1.24,1.18,1.08,1.04,1.22,5.09,4.82,6.13,4.93,4.65,3.99,7.61,4.61,10.8
e_0,1.14,0.21,1.87,0.9,1.24,1.07,4.93,4.48,3.71,6.18,4.98,7.14,8.79,22.4,4.35,10.41
a_0,1.01,0.97,1.35,0.96,1.04,0.49,4.76,5.55,4.56,5.04,6.16,5.51,8.71,5.07,23.63,9.89
g_0,0.68,0.89,1.19,1.74,1.31,0.83,3.97,4.78,1.4,4.66,4.48,9.5,6.68,7.29,4.0,3.14
