,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,104.69,72.18,82.1,137.97,177.44,460.25,11265.57,30126.93,19081.96,24428.28,47731.94,53088.5,138887.25,150583.12,174524.96,228881.79
d_1,68.28,119.58,93.01,91.95,153.32,415.69,9460.41,18235.36,16947.08,34807.32,49676.35,51197.22,137767.93,141511.44,180433.39,206563.61
f_1,88.0,70.31,124.85,101.37,155.08,466.43,8056.91,19483.51,16367.78,21155.7,40404.06,36326.22,126978.96,136313.99,127177.93,199005.95
c_1,55.67,71.21,79.47,148.59,222.78,476.17,8905.64,15724.3,16364.77,15675.8,28200.19,42866.18,112392.48,117325.62,147849.87,187013.65
b_1,52.1,64.7,70.43,71.22,209.25,678.61,7853.16,13958.16,14610.15,19738.11,28055.44,34060.51,104914.09,78833.79,129933.81,169362.38
a_1,38.06,48.85,53.17,59.07,67.9,525.95,5676.79,11067.91,11115.83,13392.49,25347.77,25793.45,78067.14,67046.91,88230.63,122088.1
h_1,16.97,21.35,28.65,25.6,39.65,107.92,3221.48,4428.56,5337.61,5852.81,10681.04,11063.56,28827.69,36685.84,40615.85,59621.87
d_0,12.65,14.19,17.31,33.71,38.7,100.12,2249.81,4911.35,3971.9,3703.06,8900.99,8775.4,27964.21,30108.79,34456.04,44272.04
g_1,12.8,21.32,16.27,21.6,32.3,98.12,1857.43,3468.07,5433.59,5040.23,8543.0,13808.87,23937.47,27068.15,39065.86,42535.75
c_0,13.48,15.05,18.78,20.19,26.51,90.66,1993.34,4688.8,3557.96,5980.32,13181.13,9814.38,30343.77,32017.85,34749.75,41394.68
b_0,11.65,12.26,14.98,20.51,23.46,64.27,1782.83,3451.09,3371.05,3587.33,9020.98,8790.2,25007.63,37193.08,27640.03,33003.21
f_0,10.02,13.44,12.35,17.33,27.47,80.33,1676.92,3612.09,2855.62,4100.97,6821.19,10113.09,20594.41,25537.26,48578.52,35003.78
h_0,8.01,10.4,11.28,13.5,17.6,54.6,1075.62,2223.83,2574.73,2718.5,4635.21,5756.19,14405.82,15325.89,18456.23,30136.89
a_0,7.98,9.84,9.58,13.63,20.15,41.14,1127.62,2362.16,2448.39,2422.86,4028.69,5133.69,17016.78,20327.75,19647.33,22476.11
e_0,6.5,9.21,9.95,10.61,16.86,47.66,1193.73,2316.15,1952.94,2506.4,5410.96,4300.9,16218.16,15841.18,25458.12,23610.43
g_0,6.38,10.63,8.51,10.7,15.15,43.83,990.66,1944.42,1638.85,2884.61,4908.09,6217.37,12716.9,15191.1,19653.89,21346.56
