,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,2.37,0.81,0.79,0.59,0.66,0.87,1.54,1.28,2.41,0.8,1.74,1.91,1.99,2.35,1.4,2.32
f_1,0.77,2.4,1.21,0.66,0.76,0.57,1.32,1.48,1.78,1.78,1.73,1.05,1.64,1.77,1.42,1.93
e_1,0.68,0.65,2.53,0.95,0.75,0.76,1.41,1.45,1.66,2.92,1.86,1.89,1.96,2.24,0.9,2.24
c_1,0.8,0.88,0.69,2.58,1.22,0.79,1.5,1.63,0.6,1.4,1.03,1.84,1.51,2.11,1.63,1.71
b_1,0.86,0.83,0.69,0.66,2.79,1.21,1.56,1.61,1.82,1.94,0.53,1.49,1.24,1.87,1.46,2.01
a_1,0.62,0.75,0.72,0.9,0.84,3.27,1.78,1.24,1.6,1.67,1.85,1.83,,2.11,2.26,2.6
h_1,1.12,1.4,0.97,0.9,0.78,0.71,3.86,2.33,2.28,1.98,2.38,2.05,1.89,1.77,2.48,3.11
g_1,1.43,0.92,0.9,0.96,0.84,1.07,1.85,4.28,1.84,2.09,2.72,2.85,2.14,2.73,2.94,1.74
c_0,0.99,0.93,1.22,0.81,0.83,0.97,1.9,2.19,3.75,2.44,4.1,2.22,2.81,2.74,2.74,3.22
d_0,0.68,1.0,0.85,1.92,1.0,0.96,1.94,2.05,1.55,3.6,2.24,2.09,2.72,2.86,2.27,2.34
b_0,1.21,1.22,0.9,1.4,0.69,0.65,2.05,1.9,1.68,2.34,3.91,2.09,3.24,2.62,2.39,2.28
f_0,1.09,0.46,0.93,0.97,1.1,1.1,2.49,2.11,2.66,2.31,2.65,4.19,2.28,2.85,4.93,3.05
a_0,0.94,1.1,0.91,1.47,1.07,,2.2,2.05,2.14,2.02,2.25,2.3,4.47,2.94,2.41,2.19
h_0,1.01,1.38,0.97,1.09,0.91,0.92,1.15,2.32,2.15,2.14,2.23,2.14,2.44,1.69,1.87,2.89
e_0,1.17,1.0,0.66,1.26,1.38,1.01,1.71,1.64,2.01,2.34,2.38,1.78,2.21,3.45,4.85,2.37
g_0,1.47,0.96,0.83,1.12,0.84,0.76,1.88,1.28,2.2,2.25,2.6,3.05,2.59,2.9,2.71,1.77
