,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.92,0.4,0.43,0.29,0.29,0.23,0.38,0.3,0.64,0.26,0.46,0.32,0.36,0.29,0.26,0.35
e_1,0.33,0.92,0.42,0.44,0.34,0.24,0.36,0.28,0.35,0.58,0.31,0.37,0.39,0.27,0.19,0.31
f_1,0.37,0.7,0.92,0.36,0.3,0.2,0.3,0.28,0.35,0.37,0.34,0.22,0.37,0.25,0.16,0.24
c_1,0.41,0.37,0.37,0.91,0.57,0.26,0.38,0.3,0.24,0.32,0.23,0.34,0.34,0.2,0.2,0.3
b_1,0.47,0.35,0.45,0.35,0.9,0.41,0.41,0.29,0.35,0.3,0.23,0.29,0.33,0.16,0.26,0.32
a_1,0.47,0.43,0.46,0.37,0.28,0.89,0.42,0.31,0.34,0.39,0.3,0.33,0.41,0.16,0.29,0.33
h_1,0.48,0.41,0.52,0.41,0.35,0.25,0.65,0.38,0.37,0.33,0.35,0.31,0.31,0.26,0.26,0.42
g_1,0.66,0.35,0.32,0.38,0.36,0.25,0.43,0.64,0.4,0.31,0.35,0.47,0.39,0.31,0.33,0.29
c_0,0.49,0.45,0.44,0.32,0.28,0.26,0.4,0.35,0.57,0.4,0.61,0.35,0.43,0.39,0.27,0.37
d_0,0.33,0.45,0.47,0.65,0.36,0.23,0.41,0.33,0.26,0.53,0.28,0.36,0.38,0.25,0.26,0.33
b_0,0.55,0.46,0.43,0.37,0.22,0.21,0.43,0.36,0.43,0.37,0.55,0.31,0.41,0.57,0.26,0.38
f_0,0.51,0.33,0.41,0.38,0.34,0.33,0.49,0.37,0.43,0.34,0.39,0.55,0.44,0.3,0.55,0.37
h_0,0.5,0.45,0.57,0.38,0.33,0.21,0.31,0.4,0.41,0.32,0.31,0.31,0.31,0.3,0.2,0.4
a_0,0.52,0.46,0.45,0.42,0.31,0.21,0.43,0.36,0.43,0.37,0.38,0.35,0.41,0.47,0.23,0.34
e_0,0.52,0.38,0.47,0.38,0.35,0.26,0.45,0.33,0.46,0.35,0.41,0.35,0.46,0.3,0.48,0.38
g_0,0.64,0.39,0.43,0.36,0.28,0.26,0.39,0.31,0.44,0.3,0.35,0.46,0.36,0.31,0.26,0.31
