,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.89,0.37,0.18,0.17,0.1,0.1,0.16,0.12,0.15,0.13,0.13,0.04,0.16,0.1,0.12,0.06
e_1,0.22,0.89,0.22,0.15,0.15,0.09,0.16,0.12,0.31,0.17,0.14,0.14,0.18,0.11,0.12,0.05
c_1,0.19,0.17,0.89,0.16,0.31,0.08,0.16,0.13,0.16,0.05,0.09,0.13,0.19,0.09,0.11,0.09
d_1,0.25,0.17,0.15,0.89,0.13,0.1,0.17,0.14,0.06,0.29,0.17,0.17,0.17,0.12,0.17,0.09
b_1,0.21,0.15,0.2,0.17,0.88,0.2,0.16,0.14,0.18,0.13,0.05,0.12,0.19,0.06,0.15,0.08
a_1,0.27,0.19,0.2,0.15,0.14,0.87,0.15,0.14,0.19,0.15,0.11,0.1,0.21,0.04,0.11,0.06
h_1,0.38,0.23,0.18,0.25,0.15,0.12,0.55,0.19,0.18,0.17,0.18,0.12,0.13,0.12,0.21,0.09
g_1,0.21,0.2,0.21,0.37,0.15,0.11,0.17,0.54,0.18,0.18,0.19,0.24,0.23,0.14,0.09,0.13
d_0,0.25,0.2,0.46,0.12,0.18,0.08,0.21,0.16,0.43,0.14,0.18,0.19,0.26,0.16,0.16,0.14
c_0,0.3,0.22,0.15,0.27,0.11,0.13,0.16,0.18,0.24,0.39,0.38,0.19,0.26,0.17,0.21,0.13
b_0,0.28,0.23,0.2,0.29,0.07,0.11,0.2,0.21,0.19,0.19,0.42,0.18,0.26,0.29,0.17,0.14
f_0,0.15,0.18,0.24,0.29,0.15,0.09,0.21,0.2,0.24,0.22,0.2,0.45,0.29,0.18,0.21,0.27
h_0,0.34,0.22,0.25,0.26,0.18,0.1,0.1,0.24,0.2,0.18,0.2,0.15,0.12,0.14,0.2,0.11
a_0,0.26,0.25,0.26,0.25,0.15,0.06,0.21,0.2,0.19,0.15,0.22,0.2,0.23,0.4,0.16,0.13
g_0,0.24,0.18,0.2,0.38,0.15,0.09,0.19,0.11,0.17,0.17,0.22,0.27,0.23,0.15,0.09,0.13
e_0,0.28,0.1,0.28,0.24,0.25,0.13,0.16,0.14,0.22,0.19,0.22,0.21,0.29,0.11,0.19,0.4
