,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.17,0.4,0.69,0.68,0.67,0.79,0.19,0.21,0.15,0.14,0.16,0.18,0.16,0.11,0.11,0.34
f_1,0.59,0.17,0.59,0.61,0.64,0.67,0.14,0.29,0.15,0.13,0.13,0.26,0.13,0.07,0.12,0.11
d_1,0.81,0.62,0.16,0.7,0.63,0.62,0.2,0.12,0.25,0.12,0.14,0.11,0.11,0.09,0.07,0.11
c_1,0.59,0.63,0.81,0.15,0.67,0.51,0.19,0.16,0.08,0.25,0.14,0.11,0.14,0.1,0.12,0.12
b_1,0.73,0.82,0.65,0.35,0.13,0.7,0.18,0.2,0.15,0.19,0.34,0.16,0.15,0.1,0.09,0.11
a_1,0.78,0.64,0.63,0.91,0.34,0.09,0.28,0.17,0.16,0.12,0.14,0.14,0.31,0.1,0.1,0.13
h_1,0.53,0.47,0.52,0.54,0.61,0.42,0.06,0.15,0.12,0.13,0.12,0.09,0.11,0.12,0.08,0.1
g_1,0.5,0.63,0.46,0.6,0.59,0.51,0.12,0.06,0.12,0.11,0.1,0.09,0.1,0.06,0.09,0.11
d_0,0.28,0.55,0.91,0.54,0.62,0.49,0.17,0.19,0.06,0.12,0.12,0.11,0.12,0.1,0.08,0.11
c_0,0.47,0.67,0.27,1.05,0.65,0.53,0.14,0.14,0.17,0.06,0.12,0.11,0.11,0.09,0.07,0.1
b_0,0.51,0.48,0.4,0.75,1.04,0.46,0.15,0.16,0.12,0.06,0.05,0.1,0.1,0.09,0.08,0.11
f_0,0.49,0.99,0.5,0.55,0.56,0.47,0.15,0.08,0.1,0.09,0.1,0.05,0.1,0.09,0.04,0.09
a_0,0.52,0.51,0.47,0.51,0.55,0.87,0.14,0.17,0.13,0.09,0.06,0.1,0.04,0.07,0.07,0.11
h_0,0.45,0.59,0.49,0.5,0.54,0.42,0.19,0.17,0.12,0.1,0.11,0.1,0.11,0.14,0.07,0.1
g_0,0.51,0.47,0.54,0.52,0.56,0.51,0.12,0.21,0.12,0.11,0.09,0.11,0.09,0.06,0.1,0.09
e_0,0.61,0.84,0.54,0.52,0.48,0.41,0.14,0.12,0.09,0.11,0.11,0.05,0.09,0.07,0.06,0.04
