,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.85,1.34,0.98,0.99,0.6,0.63,0.65,0.65,0.56,0.65,0.48,0.43,0.52,0.37,0.56
d_1,1.16,1.0,0.95,0.88,0.86,0.84,0.79,0.61,0.59,0.97,0.64,0.63,0.63,0.64,0.6,0.46
e_1,0.75,1.06,1.0,1.16,0.94,0.94,0.7,0.97,0.75,0.58,0.68,0.75,0.68,0.56,0.67,0.61
c_1,1.02,1.15,0.86,1.0,1.36,0.94,0.59,0.49,0.68,0.57,0.56,0.59,0.63,0.57,0.48,0.57
b_1,1.01,1.17,1.07,0.73,1.0,1.23,0.86,0.71,0.67,0.73,0.63,0.59,0.71,0.54,0.7,0.66
a_1,1.66,1.19,1.07,1.07,0.81,1.0,0.84,0.77,0.92,0.75,0.72,0.73,0.76,0.69,0.77,0.61
h_1,1.59,1.29,1.41,1.67,1.17,1.16,1.0,0.85,1.08,0.87,0.87,0.86,0.82,0.69,0.77,0.99
d_0,1.49,1.62,1.0,2.03,1.52,1.35,1.2,1.0,0.92,0.8,1.05,0.96,0.84,0.82,0.92,0.83
g_1,1.51,1.72,1.35,1.47,1.41,1.11,0.95,1.05,1.0,0.94,0.97,1.21,0.81,0.98,0.82,1.02
c_0,1.78,1.03,1.66,1.77,1.31,1.32,1.16,1.26,1.07,1.0,1.52,0.98,1.03,0.85,0.91,0.91
b_0,1.6,1.56,1.43,1.79,1.55,1.33,1.13,0.93,1.03,0.66,1.0,0.93,1.04,1.3,1.0,0.88
f_0,2.05,1.53,1.37,1.76,1.62,1.49,1.09,1.04,0.88,1.05,1.03,1.0,0.95,0.91,1.41,0.73
h_0,2.18,1.61,1.47,1.67,1.43,1.24,1.23,1.19,1.33,0.97,0.95,1.06,1.0,0.8,0.83,1.17
a_0,1.84,1.55,1.59,1.77,1.92,1.47,1.49,1.21,1.08,1.28,0.77,1.18,1.28,1.0,0.85,1.02
e_0,2.79,1.63,1.52,1.95,1.57,1.33,1.33,1.11,1.21,1.13,1.06,0.75,1.14,1.28,1.0,0.9
g_0,1.8,2.21,1.53,1.79,1.58,1.7,1.04,1.16,0.98,1.14,1.12,1.31,0.82,0.97,1.09,1.0
