,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.71,1.29,1.58,1.53,3.3,21.83,30.89,22.65,23.33,37.75,60.23,68.52,,78.9,95.09
f_1,1.41,1.0,0.99,0.87,1.21,2.83,14.82,21.39,25.41,32.11,,29.13,51.88,94.44,77.99,88.61
d_1,0.77,1.01,1.0,0.97,1.3,2.2,16.25,,19.36,33.55,28.33,38.75,53.17,97.64,71.55,59.18
c_1,0.63,1.15,1.03,1.0,1.92,2.39,14.12,13.36,16.5,,37.92,38.0,70.13,73.67,74.86,89.15
b_1,0.65,0.83,0.77,0.52,1.0,2.92,12.59,15.5,16.3,19.48,23.02,,43.25,63.83,47.9,57.75
a_1,0.3,0.35,0.45,0.42,0.34,1.0,5.86,7.64,7.97,8.72,8.28,18.61,25.61,,,28.68
h_1,0.05,0.07,0.06,0.07,0.08,0.17,1.0,1.3,1.7,1.33,2.14,2.33,,5.24,4.77,6.89
d_0,0.03,0.05,,0.07,0.06,0.13,0.77,1.0,1.3,1.04,1.56,1.78,2.39,3.41,4.29,3.64
g_1,0.04,0.04,0.05,0.06,0.06,0.13,0.59,0.77,1.0,1.17,2.14,1.52,2.25,3.37,3.45,
c_0,0.04,0.03,0.03,,0.05,0.11,0.75,0.96,0.85,1.0,1.64,1.87,2.46,2.86,2.81,3.45
f_0,0.03,,0.04,0.03,0.04,0.12,0.47,0.64,0.47,0.61,1.0,1.29,1.85,3.84,3.22,2.13
b_0,0.02,0.03,0.03,0.03,,0.05,0.43,0.56,0.66,0.53,0.78,1.0,1.57,2.14,2.93,2.55
h_0,0.01,0.02,0.02,0.01,0.02,0.04,,0.42,0.44,0.41,0.54,0.64,,0.8,1.24,1.49
e_0,,0.01,0.01,0.01,0.02,,0.19,0.29,0.3,0.35,0.26,0.47,1.25,1.0,,1.4
a_0,0.01,0.01,0.01,0.01,0.02,,0.21,0.23,0.29,0.36,0.31,0.34,0.81,,1.0,1.18
g_0,0.01,0.01,0.02,0.01,0.02,0.03,0.15,0.28,,0.29,0.47,0.39,0.67,0.72,0.85,
