,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.11,2.45,4.23,5.04,4.13,4.75,1.21,0.91,1.22,0.82,0.69,0.82,0.58,1.74,0.85,0.76
f_1,4.21,1.12,4.04,4.12,4.64,3.47,0.88,1.01,1.54,0.8,0.82,1.29,0.47,0.66,0.76,0.69
d_1,5.73,5.46,1.11,5.09,5.04,4.28,1.29,2.35,0.79,0.8,0.83,0.89,0.62,1.02,0.78,0.44
c_1,3.73,5.38,5.97,1.12,5.46,4.94,1.38,0.54,1.72,2.19,1.21,1.16,0.73,0.93,0.9,0.55
b_1,5.97,5.4,6.1,2.96,1.13,6.28,1.51,1.23,1.79,1.48,3.93,1.27,1.13,1.22,1.68,0.82
a_1,8.77,9.74,10.2,8.65,4.19,1.14,2.76,2.02,2.25,2.3,2.34,1.72,1.4,2.05,4.88,1.63
h_1,15.6,17.52,15.54,16.06,15.23,12.86,1.79,3.92,4.97,3.26,3.27,2.55,3.98,2.82,3.25,2.24
d_0,10.16,19.47,31.38,23.85,17.86,17.89,6.09,2.18,6.33,4.7,4.04,3.5,2.54,3.21,4.0,3.37
g_1,19.36,23.93,18.34,20.58,20.1,18.06,4.24,4.45,1.8,4.02,4.23,3.6,2.19,3.93,3.42,3.61
c_0,24.72,20.57,10.33,49.19,24.12,16.19,6.34,5.8,4.93,2.17,4.07,4.06,2.82,3.98,3.95,2.83
b_0,22.72,20.12,17.18,30.27,46.68,23.48,6.71,5.48,6.87,2.52,2.24,4.64,3.23,4.49,4.0,3.7
f_0,24.88,47.55,20.66,26.91,23.92,21.1,8.0,4.16,3.85,5.25,5.19,2.29,3.31,3.93,4.74,2.21
h_0,27.49,32.11,27.9,32.45,24.53,30.79,12.98,7.04,8.07,6.35,5.73,6.2,8.28,5.74,5.03,4.92
e_0,43.2,54.64,30.79,44.97,39.64,31.3,8.9,7.26,8.61,6.68,6.55,3.55,4.76,2.4,5.72,4.55
a_0,37.08,34.54,30.79,41.97,50.77,72.23,11.15,8.31,8.73,6.55,3.16,10.73,5.83,8.54,2.59,5.36
g_0,39.71,48.81,42.95,41.42,41.34,33.54,9.66,8.41,17.46,9.2,11.0,7.92,4.55,7.14,8.3,8.33
