,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.64,1.01,0.93,1.02,0.95,0.79,0.35,0.32,0.47,0.36,0.32,0.36,0.23,0.29,0.31,0.3
e_1,0.68,0.64,0.96,1.19,0.99,0.84,0.42,0.36,0.44,0.4,0.35,0.43,0.29,0.35,0.41,0.29
d_1,1.14,1.03,0.64,0.9,0.87,0.88,0.42,0.39,0.31,0.41,0.38,0.33,0.27,0.34,0.33,0.21
c_1,0.98,0.84,1.22,0.62,1.19,0.85,0.45,0.38,0.45,0.24,0.33,0.35,0.29,0.31,0.32,0.28
b_1,1.1,1.02,1.13,0.64,0.62,1.25,0.52,0.45,0.43,0.37,0.43,0.36,0.32,0.31,0.33,0.33
a_1,1.34,1.2,1.09,1.19,0.69,0.58,0.58,0.49,0.56,0.55,0.6,0.45,0.4,0.55,0.42,0.36
h_1,1.65,1.51,1.62,1.64,1.4,1.19,0.54,0.58,0.71,0.55,0.54,0.52,0.53,0.53,0.52,0.47
c_0,1.98,1.83,1.22,2.32,1.67,1.41,0.77,0.54,0.7,0.8,0.7,0.58,0.52,0.67,0.55,0.45
g_1,1.73,1.68,1.8,1.66,1.67,1.55,0.65,0.59,0.51,0.62,0.61,0.65,0.44,0.57,0.51,0.49
d_0,1.53,1.22,1.92,2.29,1.84,1.35,0.89,0.64,0.87,0.57,0.63,0.65,0.55,0.6,0.61,0.57
b_0,1.97,1.82,1.49,2.3,2.06,1.47,0.81,0.46,0.77,0.67,0.53,0.6,0.58,0.67,0.59,0.46
f_0,2.19,1.79,1.74,1.8,1.94,1.55,0.9,0.72,0.6,0.78,0.69,0.53,0.59,0.72,0.68,0.39
h_0,2.07,1.95,1.94,1.97,1.93,1.63,0.96,0.7,0.91,0.7,0.69,0.65,0.68,0.6,0.62,0.58
a_0,2.43,1.93,1.79,2.12,2.36,2.09,0.86,0.68,0.9,0.75,0.52,0.6,0.66,0.52,0.66,0.54
e_0,2.6,2.33,2.0,2.05,2.06,1.94,0.97,0.75,0.91,0.77,0.77,0.48,0.59,0.6,0.5,0.49
g_0,2.16,2.0,2.25,2.13,2.04,1.87,0.84,0.82,1.01,0.79,0.84,0.87,0.56,0.75,0.75,0.67
