,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.17,0.65,0.77,0.66,0.8,0.75,0.16,0.24,0.17,0.13,0.35,0.17,0.09,0.15,0.15,0.12
e_1,0.42,0.17,0.9,0.89,0.85,0.68,0.24,0.28,0.15,0.17,0.2,0.16,0.13,0.45,0.18,0.12
c_1,0.9,0.62,0.16,0.96,0.69,0.67,0.21,0.25,0.09,0.28,0.14,0.16,0.11,0.15,0.14,0.14
d_1,0.84,0.94,0.8,0.15,0.85,0.77,0.21,0.13,0.44,0.14,0.13,0.12,0.1,0.14,0.13,0.07
b_1,0.82,0.91,0.41,0.79,0.14,0.99,0.25,0.24,0.18,0.27,0.17,0.48,0.12,0.16,0.19,0.11
a_1,0.83,0.69,1.12,1.06,0.37,0.09,0.23,0.23,0.14,0.18,0.17,0.26,0.15,0.18,0.4,0.13
h_1,0.58,0.63,0.52,0.57,0.54,0.63,0.06,0.2,0.14,0.14,0.15,0.14,0.15,0.12,0.12,0.1
g_1,0.66,0.72,0.66,0.63,0.76,0.55,0.13,0.05,0.12,0.13,0.15,0.11,0.06,0.1,0.12,0.14
d_0,0.63,0.35,0.63,1.01,0.82,0.59,0.19,0.19,0.07,0.12,0.12,0.12,0.09,0.12,0.13,0.12
c_0,0.63,0.63,1.53,0.3,0.74,0.8,0.19,0.18,0.16,0.06,0.13,0.12,0.09,0.11,0.14,0.09
f_0,1.33,0.54,0.63,0.58,0.68,0.48,0.19,0.11,0.12,0.13,0.06,0.13,0.09,0.1,0.16,0.05
b_0,0.67,0.57,0.82,0.53,1.24,0.5,0.2,0.17,0.12,0.06,0.11,0.05,0.09,0.1,0.12,0.09
h_0,0.64,0.64,0.59,0.54,0.64,0.62,0.28,0.2,0.11,0.11,0.12,0.1,0.13,0.11,0.1,0.07
e_0,0.87,1.02,0.56,0.57,0.57,0.55,0.15,0.17,0.14,0.11,0.06,0.13,0.08,0.04,0.13,0.07
a_0,0.58,0.59,0.67,0.66,0.71,1.17,0.21,0.15,0.11,0.11,0.15,0.06,0.07,0.11,0.04,0.09
g_0,0.69,0.6,0.59,0.46,0.63,0.77,0.14,0.29,0.14,0.11,0.14,0.13,0.06,0.11,0.11,0.14
