,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.17,0.96,1.72,1.53,2.19,1.86,0.53,0.35,0.33,0.49,0.34,0.4,0.25,0.38,2.44,0.31
f_1,1.58,0.16,2.09,1.79,1.29,1.52,0.36,0.32,0.31,0.64,0.33,1.1,0.16,0.35,0.28,0.24
c_1,1.56,1.58,0.16,1.79,1.72,1.79,0.5,0.21,1.01,0.55,0.3,0.29,0.22,0.31,0.36,0.27
d_1,1.93,1.44,1.66,0.16,1.85,1.49,0.47,1.46,0.37,0.28,0.31,0.32,0.22,0.3,0.32,0.16
b_1,1.95,2.15,0.83,1.32,0.13,2.5,0.47,0.41,0.44,0.59,1.95,0.36,0.26,0.37,0.33,0.23
a_1,1.99,2.12,1.94,1.89,0.86,0.1,0.49,0.37,0.3,0.47,0.46,0.3,0.25,1.22,0.38,0.26
h_1,0.85,1.21,1.05,1.02,0.94,0.64,0.07,0.2,0.18,0.27,0.2,0.17,0.34,0.18,0.14,0.13
d_0,0.46,1.2,0.99,2.88,1.08,0.86,0.3,0.07,0.19,0.24,0.2,0.17,0.18,0.19,0.16,0.19
c_0,0.77,1.04,4.28,0.52,0.79,1.18,0.3,0.23,0.08,0.28,0.17,0.23,0.16,0.26,0.16,0.15
g_1,0.91,0.98,1.01,0.84,0.95,1.04,0.2,0.28,0.21,0.05,0.23,0.19,0.13,0.15,0.17,0.38
b_0,0.82,1.08,1.41,0.75,3.32,0.81,0.25,0.19,0.1,0.26,0.06,0.16,0.12,0.16,0.17,0.13
f_0,0.86,2.19,0.83,0.88,1.1,0.81,0.26,0.16,0.19,0.16,0.2,0.06,0.18,0.21,0.16,0.07
h_0,1.01,0.84,0.88,0.92,0.96,0.87,0.55,0.18,0.15,0.27,0.17,0.19,0.32,0.13,0.17,0.15
a_0,0.78,0.69,0.87,1.17,1.17,,0.34,0.21,0.16,0.26,0.1,0.23,0.14,0.04,0.19,0.12
e_0,1.99,1.52,0.87,0.93,1.1,0.61,0.17,0.17,0.14,0.26,0.17,0.09,0.14,0.18,0.04,0.11
g_0,0.98,0.89,0.8,0.99,1.01,0.93,0.18,0.16,0.17,0.62,0.19,0.2,0.1,0.18,0.17,0.25
