,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,2.28,0.55,0.62,0.37,0.4,0.33,0.87,2.01,0.85,0.98,1.06,0.91,1.19,0.95,1.18,0.37
f_1,0.88,2.34,0.45,0.44,0.4,0.38,0.82,0.83,0.56,0.96,0.34,0.82,1.06,0.63,0.89,0.55
c_1,0.48,0.45,2.41,0.47,0.8,0.35,0.78,1.01,0.71,0.31,1.01,0.68,1.33,0.73,1.13,0.77
d_1,0.44,0.6,0.37,2.46,0.41,0.33,0.98,0.5,0.88,1.92,1.01,1.12,1.42,0.7,1.38,0.77
b_1,0.47,0.43,0.44,0.46,2.55,0.87,0.88,0.82,0.85,0.84,1.08,0.43,1.29,0.66,0.91,0.71
a_1,0.43,0.49,0.5,0.61,0.48,2.95,0.83,0.94,0.86,0.91,1.13,0.96,1.17,0.32,1.01,1.04
h_1,0.5,0.78,0.63,0.66,0.49,0.43,2.92,1.11,1.33,1.13,1.16,1.04,0.75,1.05,1.62,0.99
d_0,0.66,0.58,1.25,0.22,0.56,0.35,1.09,2.46,0.83,0.78,1.08,1.04,1.5,1.05,1.27,1.05
g_1,0.53,0.55,0.61,0.89,0.45,0.43,1.15,1.15,3.22,1.07,1.7,0.94,1.49,0.97,0.68,0.74
c_0,0.69,0.65,0.32,0.69,0.48,0.36,1.32,1.3,1.08,2.66,1.36,2.26,1.52,1.11,1.55,1.05
f_0,0.56,0.43,0.67,0.66,0.59,0.37,1.38,1.28,1.11,1.25,2.62,1.3,1.63,1.09,1.57,2.16
b_0,0.65,0.74,0.56,0.55,0.32,0.28,1.37,1.59,1.01,1.35,1.24,2.99,1.61,2.31,1.34,1.09
h_0,0.57,0.89,0.5,0.66,0.56,0.41,0.79,1.13,1.3,1.32,1.01,1.17,0.9,1.01,1.92,0.98
a_0,0.72,0.68,0.7,0.54,0.52,0.22,1.2,1.48,0.78,1.09,1.25,1.39,1.5,3.19,1.47,1.16
g_0,0.59,0.52,0.52,0.98,0.59,0.37,1.17,1.21,0.6,1.41,1.94,1.22,1.41,1.02,1.13,1.17
e_0,0.35,0.6,0.69,0.7,0.64,0.32,1.36,1.3,1.14,1.43,1.09,1.22,1.78,1.24,1.56,3.06
