,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,3.79,0.41,0.31,0.51,0.39,0.31,0.71,0.84,0.73,1.39,0.85,0.84,0.8,0.88,0.21,0.83
f_1,0.71,3.88,0.37,0.46,0.32,0.26,0.8,0.46,0.56,0.76,0.88,0.18,0.8,0.85,0.87,0.83
d_1,0.31,0.41,4.16,0.28,0.45,0.41,0.69,0.88,1.56,0.22,0.81,0.74,1.18,0.9,0.87,0.72
c_1,0.36,0.4,0.41,4.54,0.75,0.32,0.61,0.62,0.16,0.82,0.51,0.91,0.8,0.9,0.91,1.01
b_1,0.33,0.39,0.46,0.36,4.9,0.76,0.85,0.65,0.73,0.68,0.17,1.03,1.02,0.41,0.83,0.92
a_1,0.44,0.42,0.32,0.33,0.36,6.78,0.93,0.76,0.98,0.8,0.73,0.66,1.05,0.28,0.95,1.11
h_1,0.68,0.96,0.65,0.64,0.53,0.74,4.95,1.87,1.52,1.27,1.43,1.17,0.31,1.33,1.26,1.65
g_1,0.52,0.57,1.2,0.77,0.54,0.7,1.16,6.07,1.34,1.22,1.25,2.05,1.53,1.0,1.26,0.53
c_0,0.8,0.72,0.84,0.28,0.52,0.87,1.23,1.22,3.88,1.47,3.24,1.61,1.48,1.67,1.72,1.56
d_0,0.78,0.79,0.2,1.24,0.64,0.58,1.44,1.09,1.29,4.07,1.92,1.81,1.48,1.45,1.63,1.51
b_0,0.74,0.79,0.81,0.69,0.25,0.64,1.48,1.55,1.68,1.37,4.16,1.83,1.47,3.21,1.48,1.71
f_0,0.57,0.31,0.87,0.82,0.75,0.9,1.49,1.75,1.46,1.36,1.92,4.27,1.6,1.37,2.71,1.37
h_0,0.66,0.98,0.89,0.69,0.53,0.65,0.54,1.6,1.34,1.1,1.4,1.24,0.53,0.85,1.5,1.95
a_0,0.66,0.74,0.82,0.61,0.88,,1.16,1.3,1.31,1.58,1.55,1.9,1.62,5.79,1.24,1.43
e_0,0.27,0.85,0.7,0.94,0.74,0.7,1.57,1.21,1.42,2.11,1.63,1.64,1.49,1.34,6.32,1.66
g_0,0.64,0.51,1.08,0.81,0.64,0.6,1.06,0.72,1.57,1.34,1.83,2.77,1.2,1.49,1.08,0.46
