,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.1,3.05,2.49,2.89,2.97,2.61,0.65,0.6,0.62,0.85,0.54,0.7,0.48,0.29,0.47,0.48
c_1,3.17,1.1,2.43,3.17,4.64,3.06,0.75,0.39,0.95,0.96,0.6,0.57,0.63,0.44,0.63,0.47
e_1,2.07,3.63,1.11,3.46,3.15,3.05,1.03,0.77,0.69,0.99,0.69,0.92,0.58,0.53,1.11,0.57
b_1,4.05,2.0,3.45,1.11,3.75,3.66,1.15,0.63,1.01,1.19,1.14,0.74,0.87,0.53,0.66,0.53
d_1,3.6,3.61,4.57,3.48,1.1,3.01,0.94,1.25,0.69,0.57,0.71,0.74,0.87,0.53,0.62,0.32
a_1,5.63,5.84,6.35,2.8,4.93,1.13,1.7,1.5,1.18,1.86,1.41,1.05,1.79,0.81,1.09,0.8
h_1,12.55,14.06,11.17,11.56,11.89,10.6,1.62,2.58,2.75,4.04,2.47,2.37,2.4,2.84,2.27,1.61
d_0,15.07,14.41,8.29,14.91,19.34,14.06,4.27,2.06,3.03,4.43,2.57,2.66,2.59,1.83,3.45,2.04
c_0,15.7,30.62,15.09,16.84,7.71,14.56,4.65,5.5,1.83,4.06,2.78,2.74,3.48,2.29,3.07,1.89
g_1,14.21,15.04,15.03,14.24,14.98,14.35,3.15,3.43,3.33,1.67,3.13,3.11,2.81,1.57,2.94,3.06
b_0,16.46,30.35,17.54,27.96,13.46,17.37,5.26,5.21,2.1,4.86,2.06,3.54,3.42,2.49,3.38,2.34
f_0,32.91,22.27,20.69,18.42,13.95,16.54,5.86,4.23,3.42,3.67,4.18,2.1,4.14,2.9,3.35,1.72
a_0,25.52,25.79,23.27,31.01,20.1,36.26,7.18,5.59,3.8,7.73,2.29,4.33,2.2,3.41,4.07,3.18
h_0,23.02,25.41,23.6,25.26,23.5,22.71,8.73,4.91,4.84,6.17,4.79,4.45,4.14,4.63,4.17,3.09
e_0,35.4,29.83,45.9,23.03,24.25,24.61,8.83,5.82,5.36,7.73,5.8,2.92,5.31,3.64,2.35,2.76
g_0,29.78,29.83,29.92,28.22,25.04,26.5,6.56,6.93,5.64,11.07,5.27,5.64,6.24,3.14,4.76,4.58
