,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.66,0.79,0.87,1.08,0.7,0.69,0.83,0.67,0.63,0.57,0.67,0.7,0.66,,0.68
f_1,1.52,1.0,0.83,1.08,0.65,0.68,0.6,0.62,0.65,0.6,0.74,,0.52,0.59,0.55,0.79
d_1,1.27,1.21,1.0,0.74,1.15,0.93,0.79,,0.8,0.49,0.62,0.75,0.57,0.68,0.45,0.42
c_1,1.15,0.93,1.36,1.0,1.33,0.88,0.66,0.48,,0.7,0.68,0.61,0.73,0.52,0.61,0.56
b_1,0.93,1.53,0.87,0.75,1.0,1.58,0.76,0.8,0.74,0.93,,0.68,0.54,,0.54,0.47
a_1,1.42,1.46,1.07,1.14,0.63,1.0,1.14,0.85,0.51,0.7,0.68,,0.67,,0.87,
h_1,1.46,1.66,1.27,1.51,1.31,0.88,1.0,0.97,0.85,1.16,0.87,0.91,,0.61,0.89,0.94
d_0,1.2,1.62,,2.08,1.25,1.17,1.03,1.0,1.17,0.91,0.83,1.14,0.81,0.87,0.76,0.8
c_0,1.49,1.53,1.26,,1.35,1.97,1.18,0.85,1.0,1.12,1.26,0.8,0.93,0.69,0.72,0.86
g_1,1.58,1.68,2.03,1.43,1.07,1.44,0.86,1.09,0.9,1.0,0.96,1.1,0.81,0.76,0.81,
b_0,1.75,1.35,1.62,1.46,,1.48,1.14,1.21,0.79,1.04,1.0,0.89,0.97,,0.75,0.66
f_0,1.49,,1.33,1.63,1.47,,1.1,0.88,1.25,0.91,1.12,1.0,0.85,0.75,1.5,0.7
h_0,1.43,1.92,1.77,1.37,1.84,1.49,,1.24,1.08,1.24,1.03,1.18,,0.89,0.84,1.21
a_0,1.51,1.69,1.47,1.92,,,1.63,1.15,1.45,1.31,,1.33,1.13,1.0,,1.11
e_0,,1.83,2.21,1.64,1.84,1.15,1.12,1.32,1.4,1.24,1.33,0.67,1.19,,1.0,0.96
g_0,1.47,1.27,2.37,1.8,2.15,,1.07,1.25,1.16,,1.51,1.42,0.83,0.9,1.05,
