,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.95,0.49,0.43,0.34,0.39,0.27,0.36,0.48,0.26,0.24,0.33,0.26,0.28,0.22,0.24,0.24
f_1,0.46,0.95,0.72,0.39,0.32,0.27,0.3,0.26,0.24,0.31,0.26,0.14,0.24,0.19,0.22,0.15
e_1,0.49,0.43,0.94,0.48,0.42,0.3,0.29,0.28,0.25,0.46,0.28,0.29,0.29,0.21,0.24,0.13
c_1,0.57,0.46,0.43,0.94,0.7,0.27,0.24,0.19,0.25,0.26,0.18,0.23,0.27,0.18,0.23,0.22
b_1,0.56,0.53,0.45,0.32,0.94,0.58,0.36,0.33,0.28,0.26,0.24,0.3,0.29,0.2,0.26,0.21
a_1,0.6,0.66,0.52,0.55,0.32,0.94,0.38,0.35,0.35,0.32,0.37,0.33,0.36,0.17,0.32,0.18
h_1,0.73,0.91,0.74,0.8,0.47,0.4,0.76,0.46,0.56,0.41,0.39,0.42,0.34,0.32,0.44,0.31
c_0,0.75,0.85,0.76,0.63,0.55,0.51,0.55,0.68,0.51,0.53,0.77,0.4,0.47,0.46,0.43,0.34
g_1,1.12,0.77,0.67,0.7,0.58,0.42,0.47,0.45,0.75,0.38,0.41,0.55,0.42,0.32,0.35,0.33
d_0,0.61,0.81,0.69,1.16,0.72,0.45,0.51,0.4,0.48,0.66,0.47,0.39,0.46,0.31,0.35,0.28
b_0,0.78,0.92,0.75,0.89,0.54,0.47,0.59,0.43,0.5,0.46,0.67,0.51,0.48,0.64,0.43,0.37
f_0,0.97,0.8,0.62,0.86,0.7,0.48,0.55,0.57,0.52,0.53,0.44,0.67,0.48,0.47,0.4,0.65
h_0,0.95,1.15,0.84,0.81,0.67,0.47,0.47,0.53,0.59,0.53,0.48,0.47,0.41,0.37,0.55,0.35
a_0,1.06,0.99,0.88,0.92,0.68,0.42,0.73,0.52,0.53,0.58,0.42,0.46,0.57,0.64,0.5,0.4
g_0,1.37,0.84,0.77,0.84,0.65,0.47,0.56,0.59,0.48,0.49,0.49,0.72,0.47,0.41,0.41,0.43
e_0,0.95,1.17,0.69,0.8,0.74,0.68,0.71,0.65,0.64,0.62,0.51,0.4,0.55,0.38,0.4,0.62
