,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,11.77,0.77,0.87,0.59,0.59,0.57,1.07,2.26,0.95,0.86,0.96,1.05,0.97,0.89,0.71,0.98
f_1,1.63,11.76,0.64,0.56,0.63,0.54,0.84,0.92,0.78,0.76,0.87,0.45,0.9,0.9,0.63,0.99
c_1,0.47,0.55,14.08,0.58,1.84,0.79,0.84,0.91,1.09,0.46,0.59,0.92,0.81,0.71,0.93,0.9
d_1,0.55,0.76,0.44,17.5,0.55,0.58,1.0,0.49,0.94,2.75,1.23,1.04,1.11,1.31,1.13,0.91
b_1,0.57,0.58,0.73,0.7,14.98,1.68,0.71,0.73,0.85,0.67,0.46,1.0,1.06,0.57,0.87,0.94
a_1,0.59,0.71,0.71,0.85,0.49,20.95,1.0,0.84,0.97,1.0,1.17,0.95,0.98,0.76,0.94,0.98
h_1,0.76,1.4,0.68,0.76,0.58,0.55,3.86,0.86,1.14,1.06,1.13,1.05,0.68,1.27,1.04,1.32
d_0,0.56,0.71,2.4,0.43,1.03,0.64,1.03,2.2,0.88,0.68,0.99,1.14,1.16,0.91,1.26,1.14
g_1,0.53,0.68,0.71,1.65,0.66,0.53,0.94,1.01,4.05,1.25,1.43,1.98,1.08,1.18,1.42,0.63
c_0,0.86,0.83,0.47,1.01,0.43,0.6,1.38,0.88,1.06,2.7,4.26,1.31,1.45,1.74,1.41,1.32
b_0,0.8,0.81,0.75,0.84,0.38,0.62,1.62,1.0,1.09,1.04,2.93,1.44,1.11,3.35,1.28,1.37
f_0,0.46,0.49,0.87,0.92,0.74,1.08,1.07,1.1,1.21,1.34,1.49,3.14,1.22,1.6,3.6,1.31
h_0,0.88,1.29,0.78,0.76,0.66,0.66,0.7,0.76,1.43,0.78,1.17,1.08,0.79,1.08,1.17,1.48
a_0,0.8,0.72,0.95,0.85,0.56,0.5,1.16,1.21,1.01,1.1,1.35,1.14,1.46,3.31,1.48,1.06
e_0,0.41,0.79,0.91,0.9,0.84,0.71,1.09,0.91,0.93,1.26,1.49,1.35,1.48,1.27,3.93,1.39
g_0,0.72,0.5,0.6,1.89,0.91,0.68,1.15,0.77,0.84,1.05,1.04,2.46,1.43,1.16,1.46,0.86
