,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.8,0.86,1.14,0.86,0.89,0.71,0.99,0.72,0.58,0.7,0.69,0.68,0.65,0.62,0.7
f_1,1.26,1.0,0.86,0.94,0.9,0.75,0.64,0.6,0.76,0.63,0.53,0.52,0.55,0.47,0.54,0.38
d_1,1.16,1.16,1.0,0.81,0.85,0.8,0.7,0.67,0.5,0.89,0.67,0.62,0.57,0.59,0.5,0.59
c_1,0.88,1.07,1.22,1.0,1.35,0.8,0.75,0.46,0.69,0.56,0.55,0.57,0.51,0.56,0.48,0.54
b_1,1.15,1.11,1.17,0.75,1.0,1.5,0.79,0.63,0.76,0.67,0.71,0.78,0.58,0.79,0.63,0.69
a_1,1.13,1.34,1.24,1.24,0.67,1.0,0.92,0.79,0.81,0.79,0.92,0.82,0.72,0.71,0.93,0.7
h_1,1.42,1.63,1.42,1.29,1.28,1.06,1.0,0.87,1.02,0.84,0.81,0.82,0.78,0.8,0.85,0.79
d_0,1.02,1.64,1.51,2.2,1.65,1.25,1.15,1.0,1.09,0.73,0.97,0.92,0.89,0.85,0.9,0.86
g_1,1.38,1.28,2.03,1.46,1.29,1.21,0.97,0.88,1.0,1.08,0.99,1.26,0.93,0.68,0.98,0.94
c_0,1.77,1.51,1.1,1.82,1.36,1.26,1.16,1.4,0.94,1.0,1.35,1.05,0.98,1.09,1.09,0.81
b_0,1.44,1.93,1.48,1.81,1.46,0.99,1.21,1.11,1.0,0.73,1.0,0.96,1.39,0.92,0.88,0.92
f_0,1.42,1.91,1.58,1.66,1.4,1.25,1.21,1.06,0.79,0.94,1.03,1.0,1.02,1.02,0.8,1.39
a_0,1.51,1.82,1.7,2.06,1.78,1.38,1.3,1.2,1.04,0.98,0.74,0.94,1.0,0.99,0.88,1.06
h_0,1.54,2.06,1.64,1.76,1.33,1.37,1.27,1.21,1.48,0.92,1.08,1.0,1.0,1.0,1.14,0.87
g_0,1.66,1.85,2.09,2.02,1.56,1.07,1.2,1.1,0.99,0.89,1.1,1.24,1.17,0.89,1.0,0.9
e_0,1.54,2.5,1.78,1.78,1.67,1.36,1.27,1.16,1.05,1.13,1.1,0.78,0.99,1.12,1.04,1.0
