,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,12.63,1.77,0.53,0.56,0.43,0.67,0.75,0.76,0.84,0.99,0.93,0.44,0.94,0.82,1.06,0.67
e_1,0.75,13.06,0.49,0.96,0.58,0.6,0.92,0.87,0.94,2.3,0.95,1.1,0.99,1.09,0.92,0.67
d_1,0.72,0.54,14.72,0.49,0.73,0.54,1.04,2.44,0.92,0.44,1.23,1.04,1.02,0.99,0.94,1.25
c_1,0.55,0.49,0.7,14.05,1.83,0.64,0.87,0.5,0.69,0.83,0.64,0.93,0.96,0.75,0.96,0.9
b_1,0.62,0.53,0.69,0.71,15.04,1.73,0.98,0.77,0.82,0.76,0.61,1.01,1.02,0.79,0.84,0.89
a_1,0.57,0.59,0.87,0.68,0.66,24.02,0.93,0.99,1.19,0.81,1.03,1.02,1.21,0.82,1.05,0.98
h_1,1.21,0.62,0.94,0.63,0.61,0.7,3.8,0.97,1.58,1.06,1.12,0.97,0.7,0.9,1.71,1.1
c_0,0.99,0.65,0.83,0.53,0.41,0.76,1.3,2.34,1.43,1.22,3.24,1.39,1.32,1.66,1.15,1.36
g_1,0.62,0.59,1.5,0.74,0.73,0.66,1.06,1.1,4.85,0.84,1.01,1.9,0.86,1.19,0.63,1.1
d_0,0.76,0.58,0.45,2.29,0.77,0.55,1.06,0.63,1.17,2.32,1.16,1.14,0.99,1.3,1.23,1.15
b_0,0.96,0.79,0.88,0.77,0.41,0.58,1.04,0.98,1.13,1.11,3.13,1.25,1.27,3.21,1.26,1.03
f_0,0.57,0.47,1.08,0.84,0.77,0.76,1.56,1.14,1.2,1.01,1.13,3.17,0.96,1.28,1.1,3.81
h_0,1.3,0.79,0.81,0.78,0.6,0.68,0.71,0.94,1.81,0.95,1.12,1.05,0.74,1.08,1.42,0.92
a_0,0.75,0.79,1.01,0.95,0.71,0.43,1.24,1.01,0.94,1.08,1.06,1.18,1.03,3.14,0.89,1.27
g_0,0.63,0.62,1.55,0.82,0.62,0.57,0.99,1.09,0.87,0.96,1.19,2.18,1.03,1.01,0.77,1.47
e_0,0.83,0.48,0.96,0.9,0.81,0.6,1.01,1.27,0.81,0.95,0.94,1.04,1.28,1.04,1.17,3.71
