,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,9.78,0.73,0.63,1.01,0.76,0.67,0.85,0.95,0.83,2.28,0.92,1.09,1.07,0.97,0.66,1.06
f_1,1.8,10.6,0.63,0.7,0.6,0.6,0.79,0.8,0.75,0.88,0.94,0.59,0.81,0.79,0.62,0.76
d_1,0.55,0.77,14.93,0.47,0.51,0.82,1.16,1.03,2.81,0.5,1.29,0.98,1.15,1.35,1.11,1.43
c_1,0.53,0.66,0.64,13.32,2.14,0.67,0.81,0.88,0.47,0.96,0.64,0.84,0.85,0.75,1.06,0.76
b_1,0.68,0.71,0.6,0.69,13.16,1.71,0.8,0.87,0.76,0.88,0.6,0.9,0.93,0.7,1.01,0.79
a_1,0.74,0.62,0.81,0.78,0.6,17.8,1.23,0.91,1.1,0.98,1.12,1.06,1.25,0.77,1.19,0.95
h_1,0.8,1.19,1.05,0.75,0.61,0.66,3.45,1.36,1.05,0.84,1.02,1.28,0.72,0.99,1.0,1.48
g_1,0.59,0.6,1.49,0.68,0.63,0.82,1.0,3.72,1.21,0.82,1.14,2.42,0.99,1.06,1.38,0.82
c_0,0.72,0.93,1.0,0.59,0.54,0.59,1.28,1.05,2.32,0.91,3.21,1.24,1.23,1.8,1.27,1.41
d_0,0.68,0.84,0.52,2.57,0.97,0.63,1.01,0.88,0.56,1.79,0.81,1.02,0.97,0.81,0.96,0.89
b_0,0.83,0.87,1.18,0.76,0.56,0.47,1.32,1.16,1.1,0.8,2.74,1.15,1.46,3.35,0.97,1.36
f_0,0.53,0.76,0.94,0.91,0.72,0.76,1.27,1.11,1.1,1.09,1.38,2.73,1.24,1.18,3.09,1.23
h_0,0.84,1.38,0.91,0.68,0.61,0.55,0.78,1.57,0.93,1.02,1.11,1.08,0.87,1.48,1.09,1.45
a_0,0.68,0.91,0.93,0.82,0.64,0.54,1.27,1.28,1.3,1.1,1.18,1.25,1.29,2.87,1.33,1.26
e_0,0.54,0.99,1.09,0.89,0.79,0.74,1.54,1.15,1.04,0.81,1.22,0.91,1.11,0.86,2.92,1.17
g_0,0.58,0.64,1.99,0.78,0.69,0.79,1.05,1.06,1.16,0.74,1.39,1.91,0.96,1.3,1.17,0.94
