,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,13.27,0.72,0.49,0.78,0.59,0.52,0.92,1.04,2.44,0.98,1.0,1.14,0.94,1.11,0.93,0.78
f_1,1.4,11.67,0.7,0.63,0.55,0.68,0.99,0.7,0.89,0.74,1.0,0.45,0.9,0.85,1.08,0.57
d_1,0.6,0.74,14.05,0.51,0.63,0.72,0.95,1.01,0.5,2.53,1.24,1.01,1.01,1.01,0.97,0.92
c_1,0.61,0.68,0.62,13.33,1.58,0.54,0.83,0.79,0.9,0.43,0.6,0.89,0.95,0.94,0.88,1.0
b_1,0.57,0.61,0.67,0.61,16.84,1.61,0.74,0.77,0.66,0.78,0.48,0.87,0.82,0.9,0.84,0.97
a_1,0.52,0.68,0.65,0.85,0.57,23.91,1.09,1.08,0.92,0.92,1.12,0.95,0.52,1.2,0.91,1.25
h_1,0.79,1.12,0.69,0.89,0.76,0.49,3.69,1.6,0.93,1.01,1.07,1.01,1.07,0.75,1.48,1.19
g_1,0.6,0.48,1.66,0.74,0.65,0.78,1.12,4.06,0.66,1.13,0.99,2.37,0.97,1.01,0.79,1.37
d_0,0.61,0.73,0.57,2.15,0.66,0.69,1.0,1.02,2.27,0.56,0.97,1.31,0.9,1.02,1.14,1.24
c_0,0.67,0.88,1.05,0.55,0.48,0.73,0.99,1.28,0.99,2.54,3.49,1.51,1.51,1.31,1.09,1.09
b_0,0.69,0.87,0.93,0.89,0.43,0.77,1.01,1.13,0.95,1.01,3.01,1.32,3.07,1.32,1.37,1.19
f_0,0.48,0.52,1.02,0.91,0.72,0.82,1.48,1.41,1.16,1.18,1.2,3.05,1.38,1.36,1.09,3.34
a_0,0.64,0.77,1.31,0.78,0.7,0.4,1.23,1.04,0.91,0.91,1.33,1.21,3.09,1.04,1.49,1.17
h_0,0.63,1.28,0.94,0.74,0.68,0.7,0.72,1.23,0.85,0.87,1.05,0.88,1.23,0.66,1.53,0.99
g_0,0.65,0.66,1.53,0.66,0.76,0.61,1.03,0.94,1.01,1.17,1.14,2.23,1.32,1.2,0.86,1.23
e_0,0.4,0.89,0.82,0.99,0.91,0.94,1.26,1.07,1.08,1.04,0.96,1.21,1.1,0.95,1.33,3.48
