,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,23.55,0.69,0.3,0.35,0.27,0.29,0.92,0.58,0.89,0.81,0.91,0.12,0.78,0.72,0.34,1.05
e_1,0.39,24.33,0.27,0.42,0.32,0.33,0.6,0.65,1.47,0.71,0.95,0.96,0.9,0.83,0.22,0.53
d_1,0.35,0.26,28.38,0.23,0.34,0.45,0.82,0.74,0.15,1.85,0.86,0.88,0.88,0.74,1.01,0.82
c_1,0.27,0.34,0.28,27.61,0.8,0.41,0.78,0.57,0.92,0.11,0.45,0.78,0.82,0.37,0.72,0.8
b_1,0.39,0.26,0.33,0.3,31.24,0.72,0.64,0.85,0.6,0.8,0.2,0.81,0.91,0.93,1.03,0.81
a_1,0.4,0.32,0.42,0.37,0.29,48.41,0.76,0.7,0.75,0.68,0.72,0.55,0.93,0.27,0.66,0.74
h_1,1.04,0.67,0.7,0.59,0.5,0.39,9.39,1.81,1.36,0.87,1.54,1.35,0.79,1.8,1.9,2.52
g_1,0.55,0.51,1.18,0.65,0.51,0.46,0.96,11.43,1.06,1.49,1.46,2.61,1.84,1.3,1.87,0.75
d_0,0.68,0.71,0.15,1.58,0.54,0.57,1.37,1.46,5.16,1.17,1.48,1.73,1.14,1.29,1.62,1.56
c_0,0.79,0.57,0.89,0.25,0.48,0.53,1.35,1.72,1.47,6.58,4.04,1.84,2.04,1.69,2.26,1.82
b_0,0.64,0.71,0.76,0.73,0.24,0.37,1.48,1.6,1.57,1.81,7.45,1.87,2.08,3.91,1.49,2.0
f_0,0.21,0.49,0.96,0.74,0.59,0.71,1.45,1.21,1.57,1.57,1.71,8.17,1.92,2.06,4.73,2.27
h_0,0.69,0.6,0.84,0.78,0.58,0.58,0.46,1.67,1.48,1.2,1.48,1.63,0.46,1.61,1.56,2.49
a_0,0.79,0.42,0.83,0.66,0.86,,1.33,1.65,1.21,1.28,1.29,1.91,2.07,8.54,1.76,1.9
e_0,0.65,0.15,0.79,0.86,0.85,0.63,1.54,1.35,1.78,1.25,1.7,1.51,2.01,2.32,9.08,1.83
g_0,0.55,0.71,1.33,0.6,0.46,0.44,0.89,1.15,1.12,1.25,1.46,2.24,1.51,1.98,1.69,
