,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.94,0.45,0.41,0.52,0.36,0.26,0.32,0.27,0.49,0.28,0.27,0.28,0.24,0.19,0.25,0.15
f_1,0.74,0.95,0.4,0.42,0.34,0.28,0.26,0.25,0.27,0.24,0.27,0.14,0.23,0.18,0.18,0.15
d_1,0.51,0.56,0.95,0.4,0.34,0.3,0.33,0.25,0.23,0.45,0.28,0.27,0.29,0.2,0.2,0.17
c_1,0.45,0.48,0.45,0.95,0.7,0.24,0.32,0.28,0.27,0.18,0.18,0.26,0.26,0.19,0.2,0.18
b_1,0.51,0.59,0.53,0.35,0.94,0.53,0.31,0.29,0.26,0.33,0.19,0.27,0.29,0.19,0.2,0.19
a_1,0.57,0.56,0.58,0.56,0.38,0.94,0.41,0.32,0.35,0.36,0.33,0.35,0.34,0.15,0.27,0.22
h_1,0.7,1.0,0.68,0.71,0.61,0.36,0.76,0.53,0.48,0.4,0.43,0.36,0.34,0.33,0.42,0.26
g_1,0.74,0.73,1.03,0.7,0.61,0.49,0.51,0.76,0.41,0.35,0.42,0.57,0.4,0.32,0.31,0.32
d_0,0.66,0.83,0.5,1.23,0.74,0.43,0.5,0.42,0.67,0.39,0.41,0.38,0.5,0.33,0.38,0.28
c_0,0.89,0.98,0.64,0.69,0.51,0.49,0.54,0.52,0.58,0.68,0.8,0.39,0.51,0.34,0.42,0.34
b_0,0.88,0.85,0.83,1.03,0.44,0.34,0.62,0.52,0.52,0.42,0.67,0.44,0.43,0.6,0.39,0.31
f_0,0.74,0.66,0.8,0.89,0.65,0.52,0.61,0.5,0.54,0.53,0.5,0.69,0.53,0.37,0.42,0.56
h_0,0.96,1.21,0.87,0.84,0.67,0.48,0.44,0.63,0.47,0.45,0.52,0.44,0.35,0.35,0.57,0.31
a_0,0.89,1.0,0.99,1.03,0.64,0.36,0.61,0.53,0.63,0.56,0.47,0.5,0.57,0.64,0.43,0.31
g_0,0.89,1.09,1.23,0.86,0.67,0.57,0.53,0.46,0.47,0.51,0.6,0.67,0.47,0.42,0.4,0.37
e_0,0.68,1.12,1.01,0.98,0.89,0.59,0.7,0.54,0.66,0.59,0.6,0.46,0.59,0.48,0.45,0.62
