,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.18,0.42,0.91,0.81,0.86,0.66,0.28,0.27,0.22,0.17,0.21,0.19,0.18,0.13,0.46,0.13
f_1,0.72,0.17,0.76,0.89,0.68,0.77,0.15,0.23,0.14,0.14,0.35,0.15,0.12,0.07,0.13,0.14
d_1,0.8,0.92,0.16,0.8,0.85,0.77,0.22,0.15,0.12,0.4,0.13,0.14,0.14,0.11,0.17,0.06
c_1,0.66,0.72,1.03,0.14,0.73,0.93,0.22,0.17,0.27,0.09,0.14,0.14,0.17,0.13,0.16,0.11
b_1,0.75,0.95,0.77,0.41,0.13,0.87,0.26,0.23,0.23,0.18,0.19,0.55,0.21,0.13,0.14,0.15
a_1,0.81,0.81,0.73,0.87,0.42,0.09,0.24,0.28,0.17,0.25,0.17,0.2,0.52,0.12,0.18,0.15
h_1,0.6,0.68,0.51,0.57,0.61,0.58,0.07,0.24,0.13,0.13,0.13,0.12,0.12,0.16,0.12,0.1
g_1,0.61,0.76,0.6,0.62,0.59,0.59,0.14,0.06,0.13,0.12,0.13,0.12,0.13,0.06,0.14,0.15
c_0,0.56,0.75,0.31,1.97,0.77,0.59,0.18,0.18,0.06,0.16,0.12,0.14,0.15,0.1,0.14,0.1
d_0,0.35,0.63,1.02,0.67,0.72,0.53,0.19,0.22,0.14,0.06,0.11,0.13,0.14,0.12,0.13,0.1
f_0,0.65,1.4,0.53,0.6,0.66,0.53,0.19,0.12,0.11,0.12,0.05,0.1,0.14,0.09,0.11,0.05
b_0,0.6,0.66,0.49,0.85,1.41,0.59,0.15,0.19,0.06,0.12,0.12,0.05,0.12,0.1,0.09,0.08
a_0,0.65,0.58,0.55,0.65,0.92,0.94,0.16,0.19,0.1,0.11,0.13,0.06,0.04,0.1,0.08,0.08
h_0,0.55,0.64,0.74,0.7,0.53,0.45,0.25,0.14,0.1,0.11,0.12,0.12,0.12,0.14,0.11,0.08
e_0,1.22,0.83,0.49,0.66,0.75,0.47,0.15,0.25,0.12,0.12,0.05,0.11,0.13,0.1,0.04,0.07
g_0,0.6,0.69,0.54,0.66,0.62,0.59,0.13,0.22,0.1,0.13,0.12,0.11,0.12,0.06,0.12,0.12
