,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.2,0.91,0.94,0.97,0.87,0.7,0.73,0.74,0.54,,0.66,0.54,0.49,0.61,0.49
e_1,0.83,1.0,1.09,0.95,0.88,0.94,0.66,0.53,0.83,0.62,0.69,0.64,0.63,,0.49,0.57
c_1,1.1,0.92,1.0,0.88,1.22,0.75,0.72,0.83,0.47,,0.57,0.47,0.74,0.69,0.51,0.71
d_1,1.06,1.05,1.14,1.0,1.1,,0.75,0.54,,0.98,0.51,0.62,0.66,0.53,0.45,0.43
b_1,1.03,1.14,0.82,0.91,1.0,1.37,0.87,0.67,0.76,0.84,0.7,,0.57,0.53,0.65,0.48
a_1,1.15,1.06,1.33,,0.73,1.0,0.82,0.75,0.77,,0.86,0.8,0.7,,,
h_1,1.43,1.5,1.38,1.33,1.16,1.23,1.0,1.16,0.83,0.98,1.09,0.8,,0.87,0.75,0.9
g_1,1.37,1.87,1.21,1.86,1.5,1.34,0.86,1.0,1.15,0.86,1.7,1.04,0.54,0.78,0.8,
d_0,1.35,1.2,2.11,,1.32,1.29,1.2,0.87,1.0,0.98,0.88,0.96,0.97,0.69,1.16,0.87
c_0,1.85,1.62,,1.02,1.19,,1.02,1.16,1.02,1.0,1.01,1.42,0.99,0.75,0.85,0.93
f_0,,1.45,1.74,1.96,1.42,1.16,0.92,0.59,1.14,0.99,1.0,0.97,1.08,1.42,,0.78
b_0,1.53,1.56,2.14,1.61,,1.24,1.25,0.96,1.04,0.7,1.03,1.0,1.39,,1.37,0.79
h_0,1.84,1.58,1.36,1.52,1.76,1.43,,1.86,1.03,1.01,0.93,0.72,,1.36,1.03,1.15
e_0,2.04,,1.45,1.87,1.89,,1.15,1.28,1.45,1.34,0.71,,0.73,1.0,1.1,1.02
a_0,1.64,2.05,1.98,2.23,1.54,,1.34,1.26,0.86,1.17,,0.73,0.97,0.91,1.0,1.25
g_0,2.06,1.76,1.41,2.32,2.08,,1.11,,1.15,1.07,1.29,1.26,0.87,0.98,0.8,
