,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.08,1.1,0.85,0.87,0.75,0.75,0.54,0.85,0.7,0.71,0.61,0.55,0.62,0.58,0.47
e_1,0.93,1.0,0.77,1.12,1.03,0.86,0.78,0.73,0.63,0.88,0.63,0.78,0.66,0.65,0.58,0.65
f_1,0.91,1.31,1.0,1.0,0.92,0.72,0.55,0.83,0.63,0.61,0.62,0.62,0.5,0.52,0.47,0.5
c_1,1.17,0.9,0.99,1.0,1.34,0.9,0.75,0.6,0.55,0.48,0.57,0.67,0.57,0.52,0.48,0.63
b_1,1.16,0.95,1.13,0.75,1.0,1.5,0.81,0.73,0.71,0.64,0.75,0.65,0.55,0.54,0.76,0.7
a_1,1.35,1.14,1.4,1.12,0.67,1.0,0.85,0.87,0.75,0.86,0.85,0.71,1.0,0.78,0.74,0.74
h_1,1.32,1.33,1.85,1.37,1.23,1.14,1.0,1.17,0.94,0.9,0.87,0.78,0.87,0.66,0.76,0.98
g_1,1.79,1.35,1.24,1.57,1.35,1.18,0.84,1.0,0.99,0.81,0.94,1.06,0.77,0.92,1.01,0.83
c_0,1.2,1.62,1.52,1.57,1.38,1.33,1.08,1.03,1.0,1.18,1.28,0.93,0.93,0.89,0.92,0.85
d_0,1.43,1.13,1.57,2.26,1.47,1.2,1.14,1.22,0.86,1.0,0.9,0.99,0.97,0.86,1.0,1.0
b_0,1.44,1.57,1.59,1.68,1.35,1.14,1.14,1.09,0.77,1.1,1.0,0.95,1.27,1.38,0.89,0.97
f_0,1.6,1.24,1.7,1.47,1.52,1.55,1.23,0.94,1.07,1.03,1.06,1.0,1.15,0.91,1.39,0.75
h_0,1.83,1.58,2.06,1.73,1.75,1.02,1.18,1.3,1.08,1.03,0.82,0.86,1.0,0.94,0.77,1.11
a_0,1.69,1.58,1.87,1.93,1.79,1.31,1.52,1.13,1.09,1.16,0.78,1.08,1.05,1.0,0.94,0.86
e_0,1.75,1.76,2.14,1.97,1.38,1.28,1.32,1.04,1.08,0.98,1.16,0.72,1.31,1.04,1.0,1.02
g_0,2.08,1.5,2.02,1.56,1.39,1.28,1.06,1.23,1.19,1.01,0.99,1.42,0.9,1.17,0.97,1.0
