,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.91,0.32,0.27,0.4,0.25,0.17,0.29,0.53,0.21,0.24,0.27,0.27,0.29,0.13,0.17,0.23
f_1,0.61,0.91,0.25,0.26,0.2,0.15,0.28,0.32,0.22,0.3,0.18,0.24,0.28,0.11,0.2,0.21
d_1,0.3,0.36,0.91,0.21,0.26,0.17,0.29,0.19,0.24,0.54,0.25,0.28,0.28,0.2,0.18,0.27
c_1,0.27,0.29,0.27,0.91,0.53,0.18,0.3,0.29,0.2,0.14,0.27,0.15,0.28,0.16,0.13,0.24
b_1,0.29,0.29,0.31,0.3,0.89,0.41,0.28,0.29,0.25,0.25,0.24,0.15,0.28,0.18,0.14,0.25
a_1,0.31,0.38,0.31,0.34,0.24,0.88,0.26,0.32,0.23,0.22,0.27,0.22,0.34,0.19,0.13,0.22
h_1,0.34,0.48,0.37,0.33,0.27,0.17,0.61,0.27,0.39,0.29,0.26,0.25,0.23,0.2,0.22,0.36
d_0,0.32,0.31,0.24,0.59,0.34,0.2,0.32,0.52,0.27,0.2,0.3,0.27,0.31,0.2,0.24,0.26
g_1,0.32,0.32,0.52,0.33,0.28,0.22,0.28,0.26,0.61,0.29,0.42,0.24,0.28,0.19,0.19,0.19
c_0,0.4,0.38,0.39,0.25,0.19,0.2,0.32,0.38,0.27,0.53,0.3,0.54,0.32,0.19,0.3,0.31
f_0,0.3,0.27,0.37,0.39,0.31,0.24,0.35,0.34,0.31,0.32,0.5,0.3,0.32,0.4,0.22,0.29
b_0,0.36,0.41,0.32,0.39,0.19,0.12,0.37,0.37,0.32,0.28,0.28,0.5,0.33,0.22,0.48,0.29
h_0,0.32,0.48,0.36,0.32,0.28,0.23,0.26,0.36,0.37,0.29,0.27,0.25,0.24,0.19,0.18,0.31
e_0,0.27,0.39,0.37,0.35,0.26,0.19,0.39,0.35,0.36,0.33,0.26,0.3,0.4,0.45,0.3,0.32
a_0,0.38,0.36,0.39,0.36,0.29,0.13,0.38,0.34,0.34,0.35,0.28,0.3,0.28,0.17,0.41,0.26
g_0,0.28,0.31,0.54,0.28,0.32,0.2,0.31,0.28,0.26,0.35,0.43,0.25,0.29,0.22,0.23,0.23
