,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.42,0.82,0.91,0.92,0.93,0.85,0.2,0.29,0.19,0.18,0.16,0.24,0.16,0.1,0.13,0.17
e_1,0.6,0.42,0.95,0.97,1.02,0.93,0.28,0.27,0.22,0.2,0.19,0.21,0.2,0.12,0.13,0.24
d_1,1.05,1.01,0.41,1.01,0.8,0.76,0.25,0.17,0.26,0.2,0.18,0.18,0.17,0.12,0.1,0.17
c_1,0.92,0.8,1.19,0.4,1.0,0.92,0.26,0.28,0.13,0.25,0.2,0.17,0.2,0.15,0.14,0.17
b_1,1.12,1.18,1.13,0.62,0.37,0.9,0.35,0.35,0.22,0.29,0.29,0.21,0.26,0.17,0.16,0.22
a_1,1.43,1.28,1.17,1.08,0.63,0.33,0.39,0.34,0.29,0.3,0.33,0.26,0.4,0.24,0.18,0.26
h_1,1.91,1.54,1.58,1.91,1.75,1.49,0.29,0.54,0.38,0.35,0.36,0.33,0.33,0.34,0.22,0.33
g_1,2.02,1.9,1.75,2.22,2.1,1.71,0.44,0.27,0.43,0.37,0.34,0.38,0.35,0.21,0.32,0.32
d_0,1.83,1.35,2.59,2.11,2.16,2.01,0.52,0.72,0.3,0.37,0.4,0.37,0.43,0.33,0.3,0.41
c_0,2.28,1.95,1.22,3.07,2.28,1.91,0.54,0.52,0.64,0.29,0.41,0.4,0.39,0.3,0.29,0.35
b_0,2.15,1.93,1.58,3.01,2.93,2.01,0.58,0.56,0.53,0.25,0.28,0.39,0.41,0.31,0.32,0.39
f_0,3.1,2.31,1.94,2.36,2.12,2.06,0.61,0.44,0.51,0.39,0.51,0.27,0.46,0.33,0.22,0.46
a_0,2.39,2.02,2.11,2.6,3.34,3.25,0.71,0.69,0.49,0.42,0.28,0.48,0.26,0.37,0.35,0.42
h_0,2.51,2.46,2.41,2.53,2.43,1.91,0.79,0.66,0.54,0.5,0.41,0.45,0.51,0.44,0.31,0.42
g_0,3.12,2.76,2.57,2.89,2.58,2.46,0.61,0.75,0.61,0.58,0.54,0.51,0.5,0.29,0.44,0.45
e_0,3.69,3.02,2.44,2.93,2.66,2.5,0.69,0.71,0.55,0.52,0.63,0.27,0.6,0.4,0.34,0.25
