,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,2.45,1.17,1.25,0.96,1.12,1.15,2.28,1.39,1.93,3.83,2.77,2.64,2.93,2.86,2.61,2.93
e_1,1.0,2.47,1.02,1.37,1.13,1.2,2.32,4.06,2.35,2.32,2.64,2.83,3.41,2.79,2.08,3.0
f_1,1.13,1.73,2.5,1.13,0.94,1.17,1.86,2.28,2.34,2.29,1.36,2.24,2.3,2.35,1.77,2.35
c_1,1.18,1.07,1.19,2.55,1.74,0.91,1.96,2.09,1.96,1.32,2.35,1.83,3.36,2.26,2.18,3.53
b_1,1.17,1.04,1.13,1.02,2.79,1.82,2.37,2.13,1.96,2.41,2.3,1.64,2.73,1.9,2.81,3.38
a_1,1.18,1.11,0.95,1.18,1.07,3.21,2.61,2.89,2.54,2.74,3.09,2.89,3.57,1.71,3.35,3.03
h_1,1.33,1.02,1.79,1.37,1.11,0.94,4.08,2.56,3.41,2.42,2.45,2.68,2.54,2.77,2.65,3.89
d_0,1.02,1.03,1.26,2.17,1.46,1.29,2.44,3.76,2.06,1.96,2.58,2.61,3.29,2.11,2.49,3.31
g_1,1.77,1.12,1.12,1.17,1.24,1.1,1.7,2.85,4.49,2.49,3.72,2.89,3.53,3.21,3.16,2.1
c_0,1.12,1.26,1.51,1.07,1.04,1.07,2.94,3.27,2.37,4.01,3.05,5.55,3.78,3.28,3.29,4.21
f_0,1.3,1.08,1.07,1.43,1.36,1.18,2.55,2.9,2.55,2.4,4.19,3.0,3.75,2.85,4.9,2.84
b_0,1.33,1.17,1.61,1.54,0.68,0.87,2.4,3.02,2.34,2.01,2.91,4.19,3.77,5.09,3.06,2.99
h_0,1.46,1.13,1.83,1.18,1.2,1.07,1.76,2.66,2.61,2.37,2.71,2.7,2.67,2.4,2.7,3.71
a_0,1.39,1.18,1.45,1.23,1.16,0.76,2.82,3.01,1.89,2.83,3.3,2.17,3.87,4.81,3.22,3.45
e_0,1.53,0.73,1.54,1.44,1.11,1.11,2.87,2.98,2.27,2.61,2.45,2.79,3.78,3.01,4.9,3.74
g_0,1.81,1.09,1.32,1.09,1.12,1.15,2.33,2.29,2.19,2.55,4.24,3.24,3.58,2.92,2.77,2.94
