,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,6.08,1.17,1.72,1.9,1.5,1.13,5.3,14.0,7.09,5.75,6.54,8.15,11.22,14.06,3.98,8.62
d_1,1.23,6.31,1.48,1.18,1.48,1.44,5.3,3.48,13.88,5.93,9.37,8.65,11.87,10.62,11.01,9.29
f_1,2.62,1.29,6.28,1.7,1.18,1.74,4.71,6.15,6.14,4.7,6.17,2.61,12.1,8.98,5.71,7.27
c_1,1.4,1.28,1.53,6.36,3.09,1.23,6.23,5.92,3.19,5.35,5.02,7.6,9.73,9.49,7.13,6.85
b_1,1.51,1.61,1.68,1.25,7.45,2.98,5.04,6.31,5.85,5.51,3.17,6.79,10.28,10.19,5.94,6.03
a_1,1.71,1.56,1.72,1.53,0.97,10.78,6.44,7.53,7.3,5.93,7.95,8.71,9.84,11.13,7.2,4.49
h_1,1.83,1.85,2.4,1.88,1.76,1.81,16.92,7.69,7.5,8.51,8.61,9.08,8.76,15.89,9.27,10.17
d_0,1.74,0.83,2.07,3.61,1.98,1.77,7.73,16.13,5.22,6.7,8.8,8.03,12.84,11.21,7.9,11.21
c_0,1.86,2.2,1.93,1.35,1.62,1.85,6.39,8.73,16.21,5.94,17.92,10.89,12.75,14.44,11.16,11.6
g_1,1.36,3.07,1.5,2.0,1.85,1.41,6.92,7.71,8.51,20.71,9.22,14.76,10.46,10.01,10.47,9.17
b_0,1.84,2.16,2.17,1.96,1.15,1.56,8.61,8.04,9.74,6.19,19.38,10.25,14.94,15.16,9.08,22.06
f_0,1.7,2.38,0.94,1.97,1.93,1.88,7.95,9.59,9.5,6.77,9.95,19.64,14.1,17.73,19.56,10.9
h_0,2.04,1.98,2.57,1.8,1.48,1.67,4.79,9.1,8.17,9.17,8.13,9.5,7.73,17.61,8.39,7.94
g_0,1.5,3.11,1.49,2.04,1.72,1.76,7.71,7.19,8.84,5.66,7.92,14.9,12.36,8.2,9.34,9.56
e_0,0.92,2.22,1.87,2.02,1.89,2.18,8.63,7.9,10.08,6.81,11.32,11.14,18.02,16.3,27.62,10.61
a_0,1.7,2.05,1.7,2.19,2.01,1.3,7.21,9.22,9.02,7.85,10.61,10.1,16.21,13.74,9.81,25.91
