,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.53,0.95,0.95,1.21,1.03,0.77,1.15,1.08,1.06,1.74,1.24,1.15,1.31,0.94,1.37,1.04
f_1,1.43,1.53,0.93,0.99,0.86,0.77,1.04,1.05,1.16,1.24,0.91,1.12,1.16,0.78,1.09,0.96
d_1,1.08,1.13,1.57,0.97,0.85,0.82,1.17,0.98,1.76,1.05,1.19,1.33,1.32,1.07,1.13,1.0
c_1,0.93,1.08,0.99,1.59,1.46,0.95,1.17,1.05,0.84,1.02,1.1,0.87,1.28,0.96,1.15,0.96
b_1,0.99,1.1,1.1,0.87,1.64,1.47,1.32,1.19,1.28,1.14,1.18,0.87,1.31,1.21,1.2,0.82
a_1,1.18,1.23,1.21,1.0,0.83,1.75,1.33,1.3,1.34,1.26,1.2,1.25,1.49,1.05,1.32,0.83
h_1,1.35,1.58,1.3,1.23,0.98,1.01,1.88,1.64,1.4,1.44,1.3,1.31,1.45,1.32,1.59,1.18
g_1,1.33,1.25,1.67,1.23,0.95,1.09,1.4,1.94,1.53,1.48,1.96,1.45,1.34,1.38,1.43,1.27
c_0,1.37,1.38,1.3,1.33,1.01,1.06,1.52,1.46,1.86,1.8,1.58,2.26,1.66,1.4,1.44,1.73
d_0,1.18,1.37,1.09,1.96,1.42,1.03,1.45,1.28,1.03,1.79,1.46,1.26,1.59,1.3,1.53,1.35
f_0,1.2,1.35,1.34,1.51,1.32,1.08,1.59,1.19,1.48,1.6,1.9,1.61,1.72,2.2,1.52,1.28
b_0,1.32,1.42,1.38,1.54,1.23,0.96,1.54,1.5,1.39,1.66,1.57,1.96,1.81,1.52,1.46,2.35
h_0,1.37,1.58,1.46,1.41,1.21,1.09,1.36,1.74,1.52,1.62,1.5,1.44,1.58,1.29,1.94,1.31
e_0,1.13,1.81,1.42,1.42,1.22,1.31,1.73,1.55,1.67,1.39,1.34,1.53,1.75,1.98,1.48,1.29
g_0,1.26,1.36,1.76,1.4,1.31,1.15,1.67,1.22,1.71,1.45,2.07,1.52,1.58,1.68,1.5,1.44
a_0,1.37,1.47,1.55,1.54,1.48,1.06,1.65,1.47,1.34,1.67,1.61,1.31,1.83,1.51,1.63,1.97
