,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.42,0.85,0.97,0.8,0.89,0.74,0.38,0.35,0.46,0.35,0.36,0.52,0.29,0.35,0.4,0.38
e_1,0.6,0.42,0.93,0.8,0.93,0.91,0.5,0.57,0.64,0.42,0.4,0.51,0.38,0.9,0.47,0.39
c_1,0.77,0.83,0.4,1.1,1.06,0.86,0.48,0.24,0.5,0.43,0.37,0.34,0.3,0.28,0.32,0.32
d_1,0.96,1.05,0.8,0.37,0.82,0.73,0.5,0.65,0.33,0.42,0.42,0.37,0.36,0.45,0.44,0.25
b_1,0.98,0.9,0.53,0.99,0.36,1.26,0.45,0.46,0.42,0.55,0.56,0.43,0.35,0.36,0.38,0.3
a_1,1.06,0.94,0.92,1.11,0.46,0.31,0.55,0.54,0.51,0.43,0.5,0.4,0.35,0.4,0.59,0.4
h_1,0.87,0.73,0.79,0.67,0.92,0.69,0.25,0.33,0.45,0.37,0.33,0.33,0.45,0.34,0.32,0.29
d_0,0.85,0.45,1.09,1.27,0.82,0.68,0.47,0.26,0.47,0.36,0.35,0.31,0.32,0.42,0.35,0.34
g_1,0.91,0.63,0.78,0.91,0.91,0.84,0.33,0.32,0.22,0.35,0.34,0.34,0.24,0.37,0.31,0.42
c_0,0.85,0.81,1.53,0.47,0.75,0.88,0.4,0.46,0.39,0.24,0.5,0.41,0.28,0.34,0.38,0.29
b_0,0.93,0.66,1.07,0.63,1.58,0.68,0.47,0.36,0.4,0.19,0.23,0.36,0.29,0.35,0.4,0.31
f_0,1.09,0.67,0.88,0.78,0.76,0.77,0.42,0.4,0.34,0.3,0.32,0.22,0.32,0.36,0.34,0.2
h_0,0.89,0.69,0.82,0.68,0.68,0.72,0.63,0.32,0.46,0.35,0.37,0.33,0.36,0.32,0.31,0.36
e_0,1.04,0.91,0.95,0.65,0.77,0.74,0.39,0.3,0.37,0.36,0.36,0.24,0.26,0.2,0.29,0.26
a_0,0.75,0.62,0.96,0.71,0.96,0.99,0.47,0.34,0.45,0.31,0.22,0.41,0.34,0.45,0.2,0.34
g_0,0.94,0.79,0.82,0.81,0.76,0.69,0.35,0.33,0.52,0.35,0.32,0.35,0.2,0.29,0.29,0.37
