,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.66,0.75,1.0,1.13,1.15,0.96,0.46,0.5,0.52,0.37,0.42,0.5,0.34,0.32,0.46,0.34
f_1,1.15,0.65,1.04,1.12,0.97,0.8,0.37,0.42,0.53,0.37,0.34,0.43,0.4,0.26,0.32,0.32
d_1,1.26,1.16,0.64,1.07,0.99,0.99,0.53,0.53,0.35,0.44,0.43,0.35,0.4,0.29,0.34,0.23
c_1,0.97,1.13,1.36,0.64,1.2,0.96,0.52,0.26,0.47,0.43,0.35,0.37,0.36,0.32,0.35,0.32
b_1,1.13,1.42,1.33,0.76,0.62,1.27,0.56,0.44,0.53,0.57,0.5,0.4,0.39,0.38,0.41,0.31
a_1,1.4,1.58,1.48,1.38,0.82,0.56,0.76,0.5,0.68,0.56,0.62,0.49,0.54,0.49,0.41,0.46
h_1,1.71,1.96,1.58,1.67,1.66,1.41,0.55,0.64,0.76,0.59,0.55,0.55,0.56,0.59,0.55,0.52
d_0,1.26,1.93,2.43,2.35,1.97,1.93,0.94,0.58,0.93,0.63,0.67,0.64,0.72,0.61,0.74,0.61
g_1,1.74,1.94,2.04,2.14,1.81,1.67,0.77,0.68,0.52,0.69,0.61,0.74,0.8,0.43,0.67,0.64
c_0,2.11,2.19,1.3,2.96,1.87,1.71,1.02,0.97,0.8,0.57,0.81,0.71,0.75,0.56,0.67,0.58
b_0,1.84,2.23,1.71,2.64,2.52,1.67,1.03,0.74,0.86,0.47,0.56,0.65,0.9,0.63,0.64,0.62
f_0,1.75,3.34,2.15,2.13,2.13,1.64,1.06,0.8,0.67,0.71,0.77,0.56,0.7,0.61,0.83,0.45
a_0,2.41,2.2,1.97,2.33,2.67,2.51,1.08,0.84,0.86,0.69,0.48,0.78,0.54,0.66,0.77,0.67
h_0,2.29,2.39,2.33,2.25,2.16,2.05,1.13,0.84,1.04,0.8,0.78,0.75,0.77,0.72,0.64,0.67
e_0,2.89,3.21,2.1,2.44,1.97,2.14,1.0,0.93,0.82,0.9,0.85,0.49,0.76,0.73,0.55,0.6
g_0,2.24,2.7,2.65,2.31,2.7,2.24,0.91,1.01,1.13,0.9,0.88,0.86,0.9,0.58,0.83,0.79
