,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,5.49,0.07,0.06,0.07,0.08,0.08,0.38,0.76,0.26,,0.36,0.34,0.56,0.38,0.45,0.4
f_1,0.06,5.83,0.14,0.06,0.08,0.08,0.32,0.33,0.26,0.48,0.43,,0.6,0.3,0.33,0.38
e_1,0.09,0.08,6.03,0.07,0.08,0.08,0.25,0.33,0.19,0.68,0.35,0.43,0.57,0.29,0.44,
c_1,0.09,0.08,0.08,7.12,0.15,0.08,0.19,,0.3,0.4,0.28,0.25,0.7,0.31,0.62,0.49
b_1,0.08,0.07,0.07,0.07,7.71,0.13,0.31,0.41,0.23,0.36,,0.48,0.65,0.31,0.56,0.27
a_1,0.07,0.1,0.06,0.08,,10.74,0.25,0.4,0.3,0.32,0.54,0.39,0.55,,0.62,
h_1,0.26,0.34,0.29,0.38,0.22,0.22,14.18,1.56,1.55,1.45,1.24,1.22,,1.62,2.82,1.08
c_0,0.32,0.31,0.34,,0.35,0.33,1.64,11.3,1.22,2.19,3.41,1.96,2.72,2.36,3.28,1.75
g_1,0.42,0.19,0.25,0.36,0.24,0.29,1.1,1.27,17.29,0.68,1.45,2.51,2.31,1.46,,1.32
d_0,,0.38,0.49,0.72,0.48,0.34,1.45,1.73,1.46,12.54,2.12,1.68,2.97,1.07,1.7,1.38
b_0,0.29,0.43,0.4,0.43,,0.35,1.47,1.7,1.62,1.09,13.29,2.1,3.04,3.69,3.05,1.97
f_0,0.41,,0.27,0.4,0.31,0.3,1.27,2.34,1.87,2.42,1.42,14.48,2.19,1.44,3.51,4.75
h_0,0.63,0.79,0.64,0.44,0.46,0.47,,1.96,2.16,2.97,2.78,2.79,,3.58,6.86,2.91
a_0,0.38,0.33,0.28,0.27,0.44,,1.97,1.68,1.2,1.52,1.1,1.77,4.24,19.36,4.05,2.43
g_0,0.93,0.6,0.4,0.62,0.47,0.45,1.78,2.84,,2.65,2.64,3.98,4.34,2.18,,3.25
e_0,0.38,0.46,,0.27,0.49,0.37,2.09,1.66,2.07,1.97,2.08,1.83,2.77,2.11,2.23,19.78
