,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,102.09,29.89,36.16,62.24,90.38,129.89,5741.42,10638.74,23250.78,12247.58,21921.51,23043.35,61100.76,39113.67,110185.73,95396.35
f_1,50.72,104.29,41.46,49.13,76.16,165.6,4693.6,10661.76,11895.34,13191.61,8083.06,20146.2,53058.94,50802.73,84642.52,70383.48
d_1,28.99,33.41,128.06,45.56,80.62,172.55,4885.34,8110.61,5482.9,19157.02,16645.19,21335.51,51230.71,56053.87,80639.52,56587.23
c_1,23.74,32.94,36.19,150.75,122.37,155.0,4815.25,8800.24,9710.85,3775.95,14806.57,15407.22,51053.89,48771.82,83756.79,70958.08
b_1,22.68,25.32,28.81,29.27,232.36,200.98,4029.98,7934.13,9027.42,9736.06,15235.75,6432.82,38697.79,54979.05,63744.25,64968.44
a_1,22.27,19.11,26.97,28.73,46.13,424.46,3390.61,5552.07,6242.39,7625.34,10846.76,9999.06,26195.16,34767.23,51702.34,18979.94
h_1,8.89,13.37,12.13,15.53,24.85,48.81,3195.12,4411.85,4016.67,3717.53,5701.48,5794.05,8207.1,19460.1,30639.13,25607.96
g_1,7.98,7.82,15.05,10.34,15.75,46.39,1027.8,5576.52,2519.46,2941.67,6565.21,4845.24,9354.27,13817.82,13743.33,20639.96
d_0,5.96,8.12,5.42,22.25,21.63,46.36,1172.42,2352.41,4938.49,2711.22,4870.51,4493.77,10629.53,15995.18,22885.44,22491.21
c_0,8.73,7.68,10.72,9.28,17.86,47.89,1152.72,2637.33,3078.09,5080.76,5744.78,7793.18,13074.96,17463.93,23607.03,23770.26
f_0,6.29,4.95,7.99,13.29,17.78,38.99,1218.29,1817.04,3027.12,2356.57,7168.25,4725.85,9345.91,24570.36,20819.2,19218.32
b_0,6.18,6.54,9.49,12.13,11.92,33.8,1108.26,2250.02,2764.62,2245.64,4200.4,7611.48,10750.69,16299.46,21329.97,31892.72
h_0,4.38,6.24,7.4,9.16,12.48,32.48,550.21,2050.34,2279.64,1870.46,3061.37,3060.94,5163.36,9006.53,18697.71,12596.71
e_0,1.98,5.68,7.2,9.27,11.8,26.0,802.39,1682.12,1712.52,1789.01,2570.79,2404.82,7882.33,18845.27,10751.69,10586.02
g_0,3.31,3.69,8.45,6.85,11.14,19.96,617.67,1060.25,1699.08,1624.47,3471.58,2507.11,6152.62,11316.6,9249.3,9528.11
a_0,3.85,5.02,8.07,7.27,9.95,13.62,673.0,1302.71,1705.7,1421.38,2571.29,2321.38,6488.73,7225.81,13126.82,22978.28
