,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,35.43,0.14,0.06,0.07,0.07,0.05,0.32,0.22,0.33,0.39,0.41,,0.7,0.26,0.32,0.38
e_1,0.07,35.95,0.06,0.07,0.06,0.08,0.26,0.2,0.72,0.39,0.35,0.29,0.61,0.44,,0.55
d_1,0.07,0.06,41.11,0.06,0.06,0.07,0.32,0.21,,0.73,0.38,0.37,0.65,0.34,0.43,0.6
c_1,0.06,0.05,0.07,41.98,0.14,0.06,0.27,0.4,0.45,,0.28,0.3,0.75,0.35,0.4,0.51
b_1,0.06,0.08,0.07,0.07,47.66,0.13,0.37,0.25,0.42,0.36,,0.33,0.52,0.41,0.42,0.44
a_1,0.07,0.06,0.07,0.07,0.06,77.04,0.3,0.27,0.39,0.35,0.4,0.36,0.53,,0.4,0.52
h_1,0.36,0.28,0.23,0.22,0.22,0.29,27.37,1.53,1.46,1.92,1.18,1.93,,1.18,1.46,2.36
g_1,0.2,0.11,0.42,0.22,0.41,,1.13,35.47,0.95,1.86,1.47,2.84,2.14,1.24,1.35,
d_0,0.42,0.33,,0.66,0.37,0.36,1.46,1.48,18.06,1.38,1.75,2.3,2.25,2.45,1.47,4.1
c_0,0.36,0.34,0.34,,0.2,0.37,1.64,1.8,1.89,17.43,4.24,1.5,3.84,2.04,2.35,3.0
b_0,0.24,0.34,0.46,0.33,,0.37,1.19,1.73,1.62,1.63,20.97,2.06,3.34,5.31,1.48,2.16
f_0,,0.25,0.32,0.54,0.38,,1.83,1.34,2.4,2.35,1.64,23.22,3.25,1.53,3.27,4.14
h_0,0.8,0.48,0.59,0.51,0.61,0.82,,2.82,3.14,2.11,2.47,3.4,,1.89,2.72,7.33
a_0,0.41,0.4,0.33,0.34,0.49,,1.98,,2.17,1.74,1.91,,2.81,27.44,2.53,3.02
e_0,0.29,,0.28,0.33,0.33,0.38,1.56,1.79,1.48,3.25,1.97,2.56,3.43,,34.5,2.85
g_0,0.58,0.53,0.83,0.46,0.34,,2.13,,3.06,3.22,3.46,4.96,4.22,2.41,2.86,
