,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.44,5.53,2.45,4.31,4.03,4.1,1.24,1.01,0.88,1.93,0.98,0.85,0.53,0.72,3.37,1.11
d_1,6.54,0.43,4.6,5.62,3.95,4.48,1.27,6.38,0.72,0.7,0.86,0.68,0.68,0.33,0.87,0.72
f_1,3.99,4.51,0.43,4.53,3.81,4.13,1.06,0.77,0.85,1.38,0.87,4.22,0.43,1.14,0.98,0.92
c_1,3.88,5.42,4.13,0.43,5.63,4.12,1.12,0.45,3.94,1.15,0.99,1.08,0.74,0.62,0.93,0.8
b_1,4.57,5.52,6.9,2.44,0.39,7.54,1.36,1.09,1.08,1.37,3.58,0.77,0.84,0.66,0.95,1.04
a_1,7.97,6.55,4.74,7.73,3.05,0.33,1.78,1.23,1.13,2.74,1.71,1.22,0.94,0.84,0.98,4.3
h_1,5.2,5.18,5.47,4.18,6.16,4.27,0.36,1.26,1.32,1.67,0.74,0.88,2.1,0.7,0.93,0.98
d_0,2.61,16.7,7.14,5.88,6.1,4.93,1.62,0.45,1.15,1.71,1.4,0.95,0.82,0.96,1.2,0.87
c_0,6.34,2.51,6.49,21.67,6.71,5.35,1.66,1.44,0.43,1.74,0.95,1.12,0.78,0.94,1.21,1.01
g_1,5.06,5.53,6.95,6.04,5.39,5.19,1.22,1.5,1.56,0.32,1.29,1.3,0.58,2.3,1.08,1.12
b_0,6.15,4.75,6.54,6.87,17.19,5.89,1.5,1.07,0.57,1.47,0.39,1.06,0.79,0.92,0.98,1.16
f_0,5.27,5.21,28.34,5.99,6.44,5.83,1.73,1.69,1.04,1.04,1.18,0.43,1.02,0.62,0.86,0.94
h_0,6.11,5.9,6.41,8.02,7.16,7.66,5.56,1.56,1.38,2.65,1.52,1.41,2.29,1.05,0.95,0.92
g_0,5.55,8.0,8.56,8.28,8.13,7.49,1.83,1.84,1.48,3.83,1.52,1.2,0.97,2.98,1.17,1.41
e_0,20.57,4.75,7.89,6.88,13.41,8.24,2.13,2.29,1.29,1.71,1.45,0.83,1.12,1.17,0.33,0.93
a_0,6.9,6.54,8.36,7.76,11.94,,1.96,1.38,1.55,2.56,0.79,1.66,1.4,1.33,1.77,0.38
