,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.41,0.63,0.45,0.74,0.82,0.63,0.38,0.4,0.37,0.31,0.32,0.38,0.31,0.44,0.34,0.3
d_1,0.76,0.4,0.72,0.64,0.63,0.63,0.33,0.26,0.37,0.32,0.3,0.28,0.24,0.27,0.29,0.19
f_1,0.77,0.63,0.4,0.7,0.61,0.54,0.3,0.4,0.34,0.29,0.28,0.36,0.18,0.27,0.29,0.28
c_1,0.57,0.84,0.66,0.38,0.82,0.62,0.36,0.36,0.2,0.33,0.27,0.29,0.26,0.27,0.27,0.23
b_1,0.6,0.71,0.81,0.44,0.36,0.87,0.36,0.35,0.29,0.39,0.44,0.31,0.27,0.32,0.27,0.28
a_1,0.77,0.67,0.84,0.66,0.38,0.31,0.4,0.38,0.32,0.33,0.41,0.31,0.26,0.28,0.48,0.29
h_1,0.61,0.62,0.69,0.67,0.62,0.57,0.23,0.36,0.28,0.27,0.28,0.3,0.28,0.3,0.27,0.24
g_1,0.59,0.65,0.65,0.63,0.63,0.6,0.29,0.23,0.29,0.29,0.29,0.31,0.2,0.27,0.27,0.26
d_0,0.43,0.85,0.61,0.76,0.65,0.65,0.39,0.38,0.24,0.31,0.26,0.27,0.25,0.29,0.28,0.25
c_0,0.66,0.44,0.67,0.93,0.6,0.58,0.38,0.34,0.41,0.23,0.34,0.31,0.25,0.31,0.33,0.24
b_0,0.66,0.52,0.63,0.8,0.7,0.52,0.37,0.34,0.35,0.19,0.22,0.32,0.23,0.28,0.3,0.26
f_0,0.51,0.62,0.9,0.66,0.62,0.66,0.33,0.24,0.29,0.28,0.3,0.22,0.26,0.38,0.25,0.18
h_0,0.57,0.6,0.8,0.62,0.61,0.55,0.37,0.37,0.28,0.26,0.29,0.26,0.29,0.26,0.24,0.22
e_0,0.6,0.62,0.93,0.7,0.62,0.56,0.33,0.31,0.28,0.28,0.28,0.17,0.22,0.19,0.26,0.2
a_0,0.57,0.56,0.62,0.79,0.85,0.64,0.35,0.36,0.34,0.22,0.17,0.31,0.25,0.26,0.18,0.23
g_0,0.58,0.65,0.64,0.74,0.59,0.58,0.27,0.38,0.3,0.31,0.29,0.29,0.21,0.27,0.24,0.27
