,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.49,0.74,0.93,0.61,0.72,0.56,0.88,1.34,0.77,0.87,0.69,0.85,0.95,0.76,0.53,0.93
f_1,1.14,1.49,0.74,0.7,0.66,0.47,0.67,0.85,0.73,0.66,0.62,0.46,0.76,0.79,0.56,0.78
c_1,0.69,0.77,1.55,0.84,1.12,0.59,0.9,0.74,0.44,0.54,0.63,0.64,0.8,0.58,0.83,0.81
d_1,0.88,0.83,0.54,1.58,0.66,0.63,0.91,0.63,1.39,1.07,0.78,0.87,0.98,0.77,0.77,0.84
b_1,0.7,0.85,0.69,0.8,1.61,1.14,0.84,1.0,0.85,0.63,0.62,0.85,0.93,0.69,0.71,0.74
a_1,0.78,1.01,0.86,0.79,0.58,1.76,0.98,1.04,1.15,1.04,0.78,0.86,1.25,0.59,0.91,0.93
h_1,0.97,1.42,1.01,0.92,0.88,0.75,1.76,0.95,1.18,1.08,1.11,1.13,0.84,0.87,1.02,1.3
d_0,0.95,0.97,1.73,0.69,0.93,0.75,1.22,1.62,0.9,1.11,1.02,1.06,1.2,0.96,1.05,1.26
c_0,1.26,1.18,0.85,0.94,0.83,0.74,1.17,1.3,1.69,1.75,1.08,1.16,1.32,1.15,1.04,1.08
b_0,1.23,1.31,1.21,0.9,0.59,0.61,1.25,1.32,1.21,1.77,1.08,1.08,1.31,1.95,1.02,1.31
g_1,1.08,1.11,1.05,1.31,0.95,0.79,1.3,0.96,1.21,1.22,1.95,1.49,1.1,1.05,0.99,0.99
f_0,0.86,1.05,1.29,1.18,0.89,0.87,1.31,1.31,1.24,1.25,1.2,1.84,1.51,1.04,2.05,1.19
h_0,1.04,1.46,1.14,1.1,0.89,0.78,1.05,1.16,1.23,1.22,1.59,1.08,1.15,1.03,1.06,1.48
a_0,1.25,1.17,1.27,1.09,0.89,0.59,1.44,1.46,1.15,0.99,1.36,1.21,1.32,1.77,1.12,1.32
e_0,0.81,1.4,1.05,1.38,1.05,0.8,1.17,1.16,1.26,1.18,1.36,0.98,1.56,1.14,1.81,1.24
g_0,0.91,1.05,1.22,1.59,1.07,0.78,1.27,1.07,1.34,1.07,0.84,1.74,1.3,1.01,1.21,1.15
