,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.94,0.41,0.33,0.51,0.36,0.26,0.29,0.28,0.42,0.22,0.29,0.24,0.26,0.15,0.2,0.21
d_1,0.45,0.94,0.48,0.32,0.35,0.27,0.29,0.26,0.17,0.4,0.25,0.29,0.24,0.19,0.2,0.16
f_1,0.75,0.41,0.94,0.39,0.28,0.24,0.24,0.23,0.28,0.25,0.1,0.23,0.17,0.13,0.16,0.2
c_1,0.38,0.48,0.43,0.94,0.66,0.27,0.27,0.27,0.24,0.12,0.23,0.2,0.26,0.16,0.16,0.17
b_1,0.42,0.45,0.53,0.32,0.94,0.55,0.31,0.3,0.3,0.3,0.25,0.17,0.27,0.21,0.11,0.22
a_1,0.5,0.55,0.58,0.52,0.3,0.93,0.34,0.31,0.26,0.32,0.27,0.31,0.27,0.24,0.13,0.23
h_1,0.67,0.71,0.88,0.6,0.59,0.42,0.75,0.54,0.4,0.41,0.36,0.34,0.31,0.33,0.28,0.42
g_1,0.65,0.95,0.64,0.63,0.54,0.46,0.37,0.74,0.43,0.4,0.55,0.39,0.33,0.33,0.25,0.27
d_0,0.66,0.62,0.65,1.07,0.58,0.54,0.47,0.43,0.64,0.36,0.38,0.31,0.4,0.33,0.25,0.38
c_0,0.84,0.76,0.81,0.53,0.49,0.46,0.48,0.48,0.44,0.65,0.42,0.65,0.44,0.34,0.35,0.35
f_0,0.66,0.91,0.67,0.75,0.64,0.47,0.49,0.42,0.55,0.45,0.66,0.39,0.49,0.57,0.28,0.37
b_0,0.72,0.79,0.84,0.75,0.37,0.44,0.55,0.43,0.55,0.43,0.45,0.66,0.47,0.31,0.57,0.38
h_0,0.69,0.87,1.17,0.71,0.62,0.56,0.34,0.69,0.5,0.48,0.43,0.48,0.31,0.34,0.3,0.42
e_0,0.52,0.97,0.94,0.85,0.73,0.52,0.53,0.6,0.6,0.49,0.42,0.5,0.54,0.63,0.35,0.38
a_0,0.79,0.86,0.91,0.94,0.86,0.28,0.59,0.52,0.65,0.43,0.54,0.43,0.57,0.37,0.63,0.37
g_0,0.76,1.27,0.79,0.88,0.64,0.49,0.56,0.43,0.52,0.49,0.65,0.45,0.54,0.44,0.36,0.28
