,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.45,13.88,42.07,52.58,37.82,33.73,11.61,6.1,8.87,5.38,8.99,10.44,4.76,,7.58,5.6
f_1,33.73,0.44,27.42,35.24,35.73,32.98,7.56,8.57,11.68,7.65,,4.54,3.4,10.91,6.4,5.71
d_1,37.71,34.09,0.43,35.49,33.83,28.54,10.03,,6.92,7.06,5.97,8.32,4.43,11.57,9.18,2.85
c_1,31.42,57.32,37.71,0.43,36.16,33.72,7.58,3.78,8.48,,7.96,8.32,5.31,6.94,6.88,5.58
b_1,45.57,55.98,37.5,18.44,0.4,49.4,10.73,7.58,11.67,9.59,6.67,,5.95,8.09,5.83,4.63
a_1,41.4,44.95,52.57,52.56,27.41,0.33,14.33,8.77,13.74,12.91,6.24,14.23,6.25,,,6.57
h_1,16.34,18.82,17.01,17.01,16.13,20.92,0.37,3.78,5.33,3.06,4.54,3.9,,3.2,2.91,2.72
d_0,8.3,19.82,,18.35,14.54,14.58,4.31,0.51,5.63,3.33,2.89,2.54,1.53,2.73,2.95,2.26
g_1,24.64,21.02,17.6,29.63,22.24,23.08,3.92,3.68,0.34,4.12,4.36,4.24,2.13,3.81,3.38,
c_0,18.66,11.41,7.91,,16.94,23.97,4.85,4.5,3.96,0.5,4.42,3.23,1.9,2.85,2.97,1.78
f_0,22.27,,17.56,13.05,15.8,24.08,5.24,3.23,2.36,3.06,0.46,4.01,2.4,4.18,4.84,1.62
b_0,14.13,21.38,18.18,18.88,,15.09,5.27,3.03,6.29,2.39,3.36,0.44,2.4,3.76,3.5,2.87
h_0,13.71,13.89,14.15,9.75,15.25,9.63,,2.79,3.98,2.24,2.69,2.69,,1.68,2.5,1.62
e_0,,25.16,20.46,21.54,17.78,,4.39,4.55,5.94,4.65,2.02,4.23,4.92,0.38,,3.5
a_0,31.84,22.42,31.36,21.45,23.61,,5.0,3.24,5.22,5.21,3.46,2.18,3.17,,0.42,2.83
g_0,18.32,17.51,16.09,13.86,14.56,17.66,2.53,3.89,,2.35,2.98,2.66,1.61,2.1,2.29,
