,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,2.27,0.02,0.03,0.03,0.04,0.02,0.06,0.04,0.11,0.07,0.05,0.06,0.07,,0.08,0.03
f_1,0.05,2.3,0.03,0.03,0.03,0.02,0.07,0.04,0.06,0.07,,0.06,0.1,0.04,0.04,0.05
d_1,0.03,0.03,2.33,0.03,0.03,0.02,0.05,0.04,,0.12,0.06,0.07,0.07,0.05,0.09,0.05
c_1,0.02,0.03,0.03,2.33,0.04,0.03,0.04,0.05,0.08,,0.06,0.05,0.08,0.05,0.07,0.05
b_1,0.03,0.03,0.03,0.03,2.46,0.03,0.05,0.05,0.06,0.07,0.06,,0.1,0.05,0.05,
a_1,0.04,0.02,0.03,0.02,0.03,2.99,0.07,0.04,0.06,0.07,0.05,0.07,0.05,,0.09,
h_1,0.13,0.18,0.1,0.1,0.08,0.09,2.73,0.21,0.23,0.23,0.19,0.23,,0.16,0.34,0.13
g_1,0.07,0.08,0.19,0.11,0.09,0.07,0.27,2.92,0.22,0.16,0.26,0.27,0.3,0.19,,0.19
d_0,0.14,0.15,,0.31,0.17,0.1,0.28,0.3,1.93,0.26,0.31,0.23,0.46,,0.35,0.22
c_0,0.15,0.16,0.13,,0.12,0.1,0.23,0.21,0.35,1.95,0.39,0.65,0.38,0.23,0.37,0.28
f_0,0.15,,0.16,0.14,0.19,0.1,0.18,0.3,0.36,0.29,2.21,0.17,0.32,0.52,0.29,0.26
b_0,0.16,0.14,0.12,0.12,,0.13,0.28,0.22,0.3,0.25,0.41,2.18,0.47,0.24,0.31,0.43
h_0,0.26,0.25,0.18,0.25,0.15,0.15,,0.59,0.36,0.49,0.41,0.42,,0.31,0.86,0.34
e_0,,0.14,0.12,0.15,0.14,,0.32,0.35,,0.32,0.21,0.29,0.47,2.77,0.29,0.25
g_0,0.13,0.25,0.34,0.19,0.17,0.25,0.51,,0.49,0.52,0.64,0.2,0.52,0.33,,
a_0,0.12,0.19,0.14,0.12,,,0.29,0.27,0.36,0.29,0.25,0.26,0.52,0.28,,2.57
