,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.51,1.41,0.95,1.02,0.89,0.7,1.02,1.02,1.07,1.14,1.03,0.88,1.06,0.89,0.67,1.14
e_1,1.02,1.52,0.91,1.21,1.0,0.76,1.14,0.91,1.02,1.8,1.1,1.07,1.32,1.11,0.94,1.25
d_1,1.17,1.07,1.58,0.88,0.91,0.8,1.2,1.07,1.76,1.1,1.28,1.12,1.3,1.11,0.9,1.09
c_1,1.03,0.91,1.04,1.59,1.41,0.97,1.1,1.13,1.0,0.95,0.95,1.08,1.29,0.95,1.01,1.03
b_1,1.09,0.96,1.05,0.99,1.63,1.44,1.21,1.11,1.24,1.14,1.06,1.12,1.35,0.81,1.01,1.16
a_1,1.26,1.13,1.21,1.03,0.86,1.78,1.47,1.31,1.39,1.29,1.41,1.15,1.38,1.08,1.23,1.38
h_1,1.61,1.33,1.23,1.23,1.08,0.92,1.9,1.67,1.48,1.35,1.43,1.29,1.62,1.41,1.24,1.7
g_1,1.28,1.26,1.68,1.17,1.09,1.01,1.28,1.98,1.77,1.23,1.64,1.92,1.57,1.48,1.39,1.49
c_0,1.63,1.46,1.26,1.22,0.99,0.92,1.57,1.31,1.86,1.66,2.3,1.49,1.81,1.65,1.44,1.58
d_0,1.42,1.19,1.07,2.01,1.32,0.97,1.49,1.46,1.17,1.8,1.52,1.23,1.78,1.31,1.19,1.45
b_0,1.6,1.41,1.39,1.41,0.92,0.91,1.63,1.39,1.3,1.46,1.9,1.34,1.7,2.18,1.28,1.57
f_0,1.32,1.29,1.41,1.31,1.23,1.18,1.54,1.34,1.57,1.87,1.74,1.99,1.82,1.57,2.36,1.66
h_0,1.8,1.45,1.45,1.22,1.27,1.05,1.13,1.59,1.39,1.42,1.48,1.31,1.57,1.35,1.29,1.78
a_0,1.63,1.36,1.41,1.53,1.48,0.99,1.62,1.26,1.51,1.61,1.37,1.37,1.83,1.87,1.12,1.52
e_0,1.76,1.27,1.61,1.31,1.32,0.9,1.49,1.72,1.58,1.77,1.7,1.39,1.83,2.06,2.03,1.52
g_0,1.41,1.3,1.86,1.47,1.34,1.04,1.45,1.4,1.68,1.62,1.67,1.89,1.8,1.54,1.69,1.51
