,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,12.05,1.69,0.57,0.57,0.55,0.54,0.82,0.69,0.88,0.85,1.03,0.52,0.93,0.89,0.62,0.82
e_1,0.71,12.1,0.55,0.88,0.64,0.58,0.98,0.75,2.22,0.99,0.92,0.94,0.92,0.97,0.65,1.06
d_1,0.72,0.54,15.24,0.48,0.61,0.6,1.08,0.98,0.54,2.51,1.42,0.98,1.06,1.12,1.25,1.2
c_1,0.58,0.51,0.58,14.15,1.62,0.68,0.86,1.05,0.94,0.39,0.59,0.88,0.91,0.84,0.96,0.76
b_1,0.66,0.52,0.7,0.71,15.15,1.69,0.75,0.96,0.82,0.75,0.48,1.13,1.04,0.68,0.99,0.75
a_1,0.73,0.57,0.75,0.81,0.54,21.79,0.94,0.94,0.88,0.96,0.89,1.16,1.04,0.78,0.94,0.95
h_1,1.2,0.75,0.99,0.64,0.68,0.58,3.63,1.58,0.87,1.0,1.19,1.1,0.66,0.82,1.17,1.54
g_1,0.5,0.48,2.01,0.76,0.78,0.62,1.1,4.56,0.69,1.07,0.99,1.97,1.2,1.22,1.29,0.87
d_0,0.79,0.7,0.46,2.24,0.78,0.73,1.2,1.01,1.96,0.6,0.81,1.07,0.94,0.92,1.01,1.0
c_0,0.88,0.85,1.14,0.5,0.42,0.66,1.16,1.16,0.92,2.33,3.63,1.01,1.41,1.56,1.09,1.39
b_0,0.79,0.86,0.95,0.82,0.39,0.57,1.18,1.12,1.1,1.32,3.06,1.12,1.17,3.48,1.1,1.47
f_0,0.45,0.45,1.0,0.92,0.81,1.02,1.26,1.33,0.9,0.92,1.17,3.23,1.25,1.38,3.7,1.5
h_0,1.16,0.71,0.9,0.69,0.63,0.71,0.86,1.53,0.83,0.95,1.26,1.23,0.78,0.99,1.26,1.82
a_0,0.85,0.7,0.79,0.82,0.81,0.63,1.31,1.14,1.2,0.93,1.38,1.2,1.36,3.23,1.34,1.32
e_0,0.94,0.46,0.86,0.77,0.91,0.92,1.22,1.3,0.8,0.92,1.37,1.33,1.71,1.14,3.78,1.41
g_0,0.59,0.68,1.54,0.76,0.59,0.76,1.14,0.97,0.77,1.02,1.52,2.39,1.1,1.04,1.4,0.83
