,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,97.69,20.04,14.31,23.02,24.17,107.43,1866.34,3156.97,4245.77,5098.66,,7792.97,27246.99,13859.66,17530.2,45395.31
e_1,9.71,108.3,12.11,23.73,19.88,91.72,1880.36,3350.9,4239.83,9064.18,6189.54,6885.83,22468.48,,21680.76,43776.85
d_1,10.78,11.19,111.83,22.48,29.11,99.82,1613.99,2291.75,8467.93,,5836.44,5952.2,18573.11,24284.66,16586.87,33458.94
c_1,9.87,9.26,9.39,174.08,33.4,95.37,1485.35,2738.53,,4232.54,4608.08,5548.43,18225.11,18163.09,16953.54,36400.22
b_1,9.02,9.52,10.53,14.72,184.25,131.0,1408.94,2785.58,2803.64,5890.21,6318.51,,16234.87,16082.95,18413.39,36783.77
a_1,5.38,4.97,6.81,10.1,9.79,616.27,1013.47,1194.21,2596.27,3836.85,2697.83,,12320.01,,,23474.68
h_1,6.13,5.36,6.22,10.04,10.77,43.76,2943.26,1548.59,1706.56,2854.02,3854.8,2237.79,,6817.78,14369.39,26257.77
g_1,4.27,4.4,7.46,7.31,7.84,43.38,732.95,4697.5,1242.58,1627.88,3978.04,2761.29,6691.81,7448.08,7678.18,
c_0,5.24,5.13,3.85,,11.07,30.52,773.38,1442.08,4468.66,2587.01,2437.93,4388.62,9771.81,7996.72,9467.05,21304.68
d_0,4.79,4.08,,14.18,7.84,31.37,665.86,1303.95,1403.95,5625.95,2032.43,2107.23,9463.63,11096.43,8660.23,20080.08
f_0,,4.55,5.22,9.07,7.83,31.05,464.69,715.48,1783.45,2332.84,6287.63,2622.2,10467.52,,8023.18,15980.97
b_0,3.45,4.91,4.61,6.57,,,870.17,1145.37,1140.04,2884.51,2383.82,5946.62,10353.94,8749.7,14964.62,14494.76
h_0,4.06,4.42,4.52,6.81,6.1,30.02,,1313.48,1481.48,1854.48,1824.88,1787.66,,,6061.84,17662.0
e_0,2.9,,2.4,4.37,4.67,,616.01,781.4,1368.88,929.79,,1467.06,,16984.79,7902.52,13079.87
a_0,3.11,2.57,4.09,5.46,5.73,,347.68,890.6,1112.01,984.56,1501.79,1171.7,5480.77,4788.12,18104.66,11350.11
g_0,2.02,3.37,4.25,5.69,5.77,27.12,408.29,,1053.06,969.87,2225.47,1722.76,5211.29,4054.93,6062.1,
