,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.0,1.52,1.33,1.75,2.25,17.5,29.03,29.64,29.07,41.03,41.5,53.5,86.84,74.45,115.55
d_1,0.99,1.0,0.98,1.05,1.33,2.66,18.56,23.87,22.7,42.3,36.15,45.38,66.19,90.43,103.95,85.2
e_1,0.66,1.02,1.0,1.4,1.43,2.81,17.11,36.14,28.52,26.18,37.42,55.65,69.36,81.13,112.61,111.97
c_1,0.75,0.97,0.71,1.0,1.74,2.53,12.1,15.31,21.17,20.62,25.83,35.12,54.34,66.78,71.81,85.43
b_1,0.57,0.76,0.7,0.57,1.0,2.52,13.56,17.29,17.39,21.45,22.93,28.75,48.0,47.84,74.47,77.7
a_1,0.45,0.38,0.35,0.4,0.4,1.0,6.43,9.39,11.16,10.25,13.08,16.26,25.63,31.5,40.41,33.51
h_1,0.06,0.05,0.06,0.08,0.07,0.16,1.0,1.36,1.81,1.5,2.01,2.63,3.5,4.03,5.41,7.56
d_0,0.03,0.04,0.03,0.07,0.06,0.11,0.75,1.0,0.98,0.91,1.45,1.84,2.34,3.09,3.98,4.02
g_1,0.03,0.05,0.04,0.05,0.05,0.09,0.57,0.95,1.0,1.1,1.34,2.15,2.12,3.55,3.68,4.62
c_0,0.03,0.02,0.04,0.05,0.05,0.1,0.65,1.12,0.92,1.0,1.88,1.55,2.41,2.72,3.27,3.79
b_0,0.02,0.03,0.03,0.04,0.04,0.07,0.5,0.66,0.74,0.54,1.0,1.27,2.07,3.33,3.12,2.99
f_0,0.02,0.02,0.02,0.03,0.03,0.06,0.36,0.54,0.5,0.65,0.74,1.0,1.39,1.7,3.28,1.83
h_0,0.02,0.01,0.01,0.02,0.02,0.04,0.29,0.43,0.5,0.4,0.47,0.72,1.0,1.15,1.38,2.06
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.25,0.32,0.29,0.4,0.31,0.6,0.91,1.0,1.1,1.36
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.19,0.25,0.28,0.31,0.34,0.31,0.71,1.0,1.0,0.94
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.13,0.23,0.22,0.27,0.33,0.52,0.48,0.74,1.06,1.0
