,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.41,0.81,0.56,0.97,0.87,0.73,0.5,0.44,0.48,0.4,0.37,0.42,0.33,0.39,0.61,0.39
d_1,1.02,0.4,0.85,0.8,0.76,0.75,0.4,0.59,0.31,0.37,0.35,0.36,0.27,0.33,0.34,0.23
f_1,0.92,0.75,0.4,0.78,0.76,0.73,0.33,0.36,0.51,0.33,0.37,0.52,0.28,0.36,0.32,0.29
c_1,0.63,0.93,0.85,0.39,1.07,0.73,0.45,0.23,0.41,0.5,0.31,0.36,0.27,0.32,0.38,0.34
b_1,0.8,0.85,0.82,0.48,0.36,1.12,0.45,0.4,0.5,0.44,0.54,0.38,0.39,0.34,0.4,0.31
a_1,0.98,0.89,0.92,0.88,0.42,0.3,0.46,0.38,0.47,0.43,0.49,0.36,0.32,0.68,0.38,0.34
h_1,0.65,0.74,0.88,0.7,0.72,0.67,0.25,0.31,0.41,0.32,0.33,0.28,0.35,0.3,0.28,0.28
d_0,0.46,0.9,0.73,0.88,0.81,0.85,0.46,0.25,0.43,0.28,0.33,0.32,0.31,0.33,0.29,0.3
g_1,0.79,0.8,0.67,0.78,0.67,0.65,0.34,0.33,0.22,0.32,0.33,0.35,0.21,0.28,0.31,0.35
c_0,0.71,0.48,0.85,1.19,0.71,0.65,0.45,0.5,0.42,0.24,0.41,0.34,0.32,0.33,0.31,0.25
b_0,0.7,0.62,0.72,0.99,1.18,0.7,0.36,0.31,0.38,0.2,0.23,0.3,0.32,0.39,0.29,0.27
f_0,0.68,0.65,1.07,0.76,0.72,0.71,0.44,0.39,0.24,0.32,0.3,0.22,0.27,0.34,0.41,0.22
h_0,0.67,0.69,0.73,0.82,0.69,0.65,0.51,0.32,0.48,0.27,0.27,0.33,0.34,0.27,0.25,0.29
a_0,0.64,0.76,0.65,0.74,1.1,0.84,0.37,0.32,0.47,0.31,0.19,0.32,0.29,0.21,0.29,0.25
e_0,0.69,0.7,0.98,0.75,0.73,0.62,0.45,0.34,0.36,0.31,0.32,0.17,0.32,0.31,0.19,0.26
g_0,0.68,0.68,0.77,0.73,0.72,0.67,0.34,0.34,0.44,0.35,0.35,0.36,0.21,0.36,0.27,0.35
