,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,5.74,0.72,0.63,0.58,0.52,0.73,1.91,1.96,4.94,2.61,2.69,2.17,3.01,3.48,0.82,5.21
f_1,1.08,6.28,0.7,0.5,0.57,0.47,1.67,1.98,3.08,2.96,3.18,0.41,2.07,4.59,2.27,2.86
c_1,0.5,0.57,6.51,0.58,1.04,0.54,2.21,2.21,2.95,2.21,0.47,3.78,3.08,4.4,2.71,4.43
d_1,0.5,0.54,0.49,6.66,0.63,0.59,2.67,2.62,0.93,3.85,5.75,3.08,2.07,3.38,3.69,3.15
b_1,0.56,0.65,0.62,0.53,7.32,1.15,2.37,1.66,2.42,0.6,3.29,2.45,2.56,5.1,2.66,5.15
a_1,0.6,0.67,0.59,0.6,0.53,9.5,3.04,2.26,2.89,2.56,2.45,2.7,1.15,4.69,2.47,4.1
h_1,0.93,1.45,0.76,1.25,1.07,0.76,15.11,5.16,4.1,4.93,4.28,4.45,5.18,2.81,7.65,9.24
g_1,0.89,0.94,1.02,1.78,0.95,0.83,3.44,18.61,3.5,4.75,4.42,8.34,2.77,7.0,5.12,2.91
d_0,1.03,1.09,2.11,0.31,1.17,0.91,3.01,3.39,13.83,5.95,4.06,5.08,5.23,8.6,6.38,6.67
b_0,1.21,1.03,1.12,1.36,0.31,0.72,4.17,3.94,3.93,14.46,6.71,6.55,13.5,8.94,6.4,8.81
c_0,1.22,1.12,0.42,1.18,0.77,1.11,4.7,3.68,5.3,11.21,14.2,5.57,7.45,9.28,6.71,7.34
f_0,0.9,0.37,1.29,1.13,1.39,0.79,3.91,4.3,5.62,5.52,4.63,18.06,6.43,8.28,12.48,8.32
a_0,1.0,1.05,1.25,1.33,1.23,0.31,3.31,3.02,5.76,5.33,5.12,4.93,20.7,10.39,5.51,9.4
h_0,1.08,1.61,1.14,1.16,1.0,0.83,1.4,4.78,3.99,4.52,3.88,4.25,5.76,1.86,4.2,7.72
e_0,0.49,1.3,1.17,1.23,0.98,0.93,4.21,3.72,5.13,6.4,5.16,7.61,7.35,10.9,22.58,8.78
g_0,1.16,0.82,0.96,1.89,0.75,0.97,3.13,1.6,3.44,6.47,4.78,8.45,6.27,7.38,5.67,3.94
