,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.21,0.96,1.0,0.94,0.84,0.87,0.99,0.98,0.94,0.98,0.98,0.88,0.9,0.85,1.08
e_1,0.86,1.0,1.19,0.95,1.01,1.0,1.03,1.32,1.06,0.98,1.16,0.97,1.09,1.11,1.06,1.02
c_1,1.03,0.84,1.0,1.1,1.29,0.98,0.95,0.72,1.04,0.86,0.95,0.8,1.01,0.89,0.93,1.07
d_1,1.0,1.05,0.89,1.0,0.97,0.96,1.05,1.01,0.87,1.3,1.04,1.12,1.0,0.99,0.95,0.82
b_1,1.04,0.97,0.81,1.02,1.0,1.37,1.05,1.03,1.06,1.04,0.92,0.96,1.05,0.98,1.01,1.01
a_1,1.12,1.01,1.0,1.04,0.74,1.0,1.08,1.07,1.06,1.02,0.95,1.15,1.07,1.06,1.18,1.05
h_1,1.13,0.98,1.04,0.95,0.94,0.91,1.0,0.88,1.11,0.88,0.91,0.99,0.93,0.88,0.94,1.1
d_0,0.98,0.76,1.36,1.05,1.01,0.92,1.12,1.0,1.07,0.89,1.08,1.08,1.03,1.0,1.05,1.21
g_1,1.03,0.92,0.95,1.16,0.97,0.92,0.91,0.94,1.0,0.92,1.14,0.98,0.91,1.1,1.15,0.96
c_0,1.07,1.02,1.12,0.8,1.01,0.97,1.14,1.08,1.09,1.0,0.97,1.49,1.09,1.12,1.18,0.99
f_0,1.04,0.85,1.09,0.98,1.04,1.04,1.07,0.98,0.88,1.04,1.0,1.04,1.0,1.42,1.06,0.86
b_0,1.05,1.0,1.28,0.89,1.04,0.85,1.05,0.95,1.0,0.71,0.96,1.0,1.01,1.02,1.33,1.04
h_0,1.15,0.93,0.98,0.96,0.96,0.93,1.05,0.96,1.08,0.9,0.95,0.98,1.0,0.94,1.0,1.07
e_0,1.05,0.92,1.09,0.96,1.08,0.93,1.13,0.99,0.93,0.88,0.74,0.98,1.04,1.0,1.07,0.93
a_0,1.12,0.98,1.15,0.94,1.02,0.83,1.09,0.93,0.92,0.8,0.95,0.71,1.03,0.97,1.0,1.05
g_0,0.94,0.96,0.99,1.18,0.97,0.95,0.88,0.85,1.01,1.04,1.12,1.01,0.9,1.07,0.91,1.0
