,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,1.15,85.23,121.52,90.14,72.51,103.0,22.0,15.04,12.81,,14.67,19.19,20.62,9.53,16.73,7.31
f_1,87.3,1.15,93.74,64.39,76.66,130.47,13.62,32.95,18.5,17.28,17.79,,16.04,7.59,26.29,13.5
e_1,98.79,47.6,1.15,92.79,95.82,108.72,28.6,49.43,16.24,17.28,20.96,28.78,21.65,12.06,,15.95
c_1,150.16,126.38,86.34,1.15,107.32,85.09,37.3,24.71,,8.64,15.05,23.55,14.93,15.77,19.37,14.63
b_1,163.22,107.79,136.71,60.67,1.15,81.54,42.9,40.71,33.3,20.06,,24.67,19.68,17.83,13.63,18.47
a_1,139.04,244.33,164.05,143.41,76.66,1.15,53.62,43.25,35.05,27.04,39.13,34.53,,25.62,33.45,29.25
h_1,85.32,101.81,99.42,108.79,99.37,81.54,2.0,21.62,24.67,16.37,15.05,15.7,20.62,,20.44,12.54
g_1,125.13,126.38,156.24,98.59,103.19,177.91,19.5,2.0,23.79,31.1,21.74,23.55,27.06,15.19,28.31,
c_0,57.75,87.26,113.14,,103.19,97.85,23.19,31.45,2.9,25.92,17.79,13.63,21.65,11.39,19.37,14.04
d_0,,81.44,51.27,92.79,83.84,108.72,30.64,30.09,19.03,3.24,20.24,20.72,25.47,12.81,18.4,12.54
b_0,121.1,111.06,117.18,242.69,,108.72,22.0,19.22,12.57,20.73,2.94,22.52,20.62,17.83,,16.71
f_0,104.28,,126.19,121.35,167.69,108.72,42.9,23.86,25.62,19.44,23.48,3.01,24.06,17.83,20.44,10.64
a_0,125.13,159.35,142.65,157.75,243.91,,45.16,57.67,27.75,24.88,21.74,34.53,2.89,15.19,,20.65
h_0,79.87,104.71,82.02,85.27,116.65,122.31,,21.62,22.97,19.44,25.52,30.47,16.65,,16.73,11.7
e_0,250.27,183.25,,185.59,167.69,108.72,66.0,38.44,33.3,34.56,,12.63,,31.54,3.07,19.5
g_0,83.42,140.96,109.37,143.41,134.15,97.85,22.58,,26.64,47.85,30.89,17.86,30.93,12.42,21.65,
