,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.76,0.95,1.09,1.0,0.85,0.76,0.81,0.66,0.95,0.67,0.79,0.65,0.55,0.63,0.63
f_1,1.3,1.0,0.93,0.96,0.81,0.81,0.59,0.68,0.62,0.62,0.61,0.55,0.47,0.53,0.47,0.52
d_1,1.04,1.09,1.0,0.96,0.86,0.72,0.75,0.54,0.83,0.75,0.72,0.63,0.58,0.53,0.58,0.49
c_1,0.91,1.05,1.04,1.0,1.4,0.65,0.66,0.75,0.6,0.5,0.65,0.6,0.64,0.61,0.55,0.58
b_1,0.99,1.22,1.17,0.72,1.0,1.5,0.77,0.76,0.8,0.63,0.66,0.65,0.65,0.56,0.62,0.61
a_1,1.17,1.24,1.38,1.55,0.66,1.0,1.03,0.77,0.74,0.93,0.85,0.78,0.91,0.67,0.71,0.8
h_1,1.35,1.68,1.33,1.49,1.22,1.02,1.0,1.07,0.87,0.84,0.86,0.76,0.78,0.84,0.78,0.91
g_1,1.27,1.42,1.87,1.4,1.33,1.25,0.96,1.0,0.94,0.8,0.87,1.17,0.82,0.86,0.8,0.81
c_0,1.58,1.59,1.19,1.77,1.21,1.36,1.11,1.01,1.0,1.09,1.29,0.95,0.93,0.9,0.88,0.9
d_0,1.07,1.5,1.36,2.01,1.63,1.06,1.18,1.18,0.9,1.0,0.86,0.91,0.9,0.95,0.84,0.95
b_0,1.57,1.61,1.34,1.66,1.41,1.05,1.17,1.12,0.74,1.14,1.0,0.98,1.05,1.3,0.92,0.85
f_0,1.28,1.76,1.55,1.68,1.52,1.23,1.28,0.88,1.01,1.09,1.02,1.0,1.0,1.02,1.43,0.67
h_0,1.59,2.1,1.75,1.56,1.42,1.11,1.28,1.2,1.03,1.12,0.94,1.03,1.0,0.99,0.93,1.2
a_0,1.79,1.77,1.89,1.65,1.9,1.53,1.2,1.24,1.11,1.0,0.82,1.03,1.01,1.0,0.84,0.93
e_0,1.72,2.32,1.78,1.94,1.59,1.34,1.28,1.19,1.02,1.1,1.14,0.75,1.0,1.24,1.0,0.98
g_0,1.7,1.83,2.17,1.7,1.47,1.31,1.12,1.29,1.09,1.09,1.15,1.43,0.83,1.07,1.02,1.0
