,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,0.93,0.1,0.09,0.11,0.16,0.04,0.09,0.07,0.06,,0.07,0.04,0.07,0.04,0.03,0.05
f_1,0.12,0.93,0.14,0.15,0.09,0.06,0.07,0.07,0.06,0.06,,0.06,0.05,0.03,0.04,0.05
d_1,0.11,0.08,0.93,0.08,0.1,0.06,0.08,0.06,,0.11,0.06,0.07,0.06,0.04,0.04,0.05
e_1,0.1,0.1,0.1,0.93,0.1,0.07,0.07,0.06,0.11,0.05,0.06,0.05,0.08,,,0.06
b_1,0.09,0.13,0.09,0.1,0.93,0.11,0.09,0.07,0.09,0.07,0.06,,0.05,0.05,0.05,0.04
a_1,0.18,0.12,0.11,0.12,0.09,0.93,0.06,0.07,0.08,0.07,0.07,0.06,0.07,,,0.06
h_1,0.23,0.41,0.29,0.26,0.19,0.23,0.71,0.23,0.19,0.19,0.16,0.16,,0.07,0.1,0.2
g_1,0.27,0.22,0.42,0.31,0.23,0.21,0.17,0.71,0.19,0.2,0.24,0.16,0.13,0.18,0.11,
d_0,0.6,0.37,,0.32,0.24,0.25,0.22,0.21,0.58,0.22,0.22,0.17,0.16,,0.15,0.18
c_0,,0.39,0.34,0.32,0.29,0.19,0.25,0.2,0.2,0.59,0.2,0.33,0.2,,0.17,0.19
f_0,0.3,,0.42,0.33,0.42,0.31,0.26,0.18,0.2,0.26,0.58,0.27,0.15,0.23,,0.17
b_0,0.33,0.41,0.38,0.37,,0.21,0.24,0.22,0.31,0.2,0.14,0.57,0.29,0.16,,0.19
h_0,0.43,0.61,0.38,0.44,0.57,0.34,,0.37,0.36,0.29,0.28,0.24,,0.21,0.27,0.24
e_0,0.39,0.45,0.35,,0.41,,0.5,0.19,,,0.22,0.28,0.24,0.6,,0.2
a_0,0.57,0.5,0.41,,0.27,,0.37,0.26,0.26,0.23,,,0.2,,0.57,0.25
g_0,0.62,0.41,0.72,0.53,0.48,0.3,0.27,,0.35,0.31,0.33,0.22,0.28,0.19,0.22,
