,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.07,2.8,3.88,3.23,3.34,2.38,1.03,1.05,1.22,0.87,0.96,1.39,0.48,0.91,0.62,0.76
d_1,3.85,1.07,3.36,3.13,2.72,2.79,1.58,1.73,0.93,1.47,0.88,0.98,0.76,0.86,0.81,0.55
e_1,2.1,4.23,1.07,3.61,3.44,3.22,1.2,1.37,1.45,0.86,1.04,1.06,0.92,0.81,2.04,0.94
c_1,3.55,4.24,3.45,1.07,4.55,3.42,1.1,0.61,1.48,2.0,0.89,0.97,0.9,0.93,0.77,0.79
b_1,3.88,4.1,3.94,2.53,1.07,3.73,1.77,1.3,1.3,1.36,2.41,0.95,1.0,1.18,1.42,0.89
a_1,7.48,5.49,4.34,4.61,2.98,1.07,2.07,1.54,2.24,1.56,1.55,1.44,1.22,2.42,1.49,0.99
h_1,7.36,6.52,8.02,9.52,6.54,6.77,1.37,2.08,2.96,2.04,2.1,2.23,2.59,1.7,1.7,1.76
d_0,9.36,18.01,4.85,9.8,8.93,8.05,4.0,1.64,2.47,2.24,2.4,2.15,1.99,1.87,2.36,2.15
g_1,9.17,9.04,8.48,7.96,9.39,6.79,2.79,3.53,1.38,2.62,2.74,2.82,1.75,2.62,2.53,2.86
c_0,11.01,4.91,9.95,16.77,9.16,6.89,3.42,3.27,3.79,1.6,3.21,2.39,2.72,2.12,2.08,1.92
b_0,9.31,9.77,8.89,11.74,18.69,10.17,3.29,2.4,3.07,1.56,1.65,2.5,2.17,2.83,2.63,1.74
f_0,29.36,9.96,9.72,9.73,10.57,8.43,3.88,3.17,2.54,2.96,3.24,1.64,2.19,2.89,3.15,1.51
h_0,16.36,10.47,10.82,11.77,10.42,9.88,5.95,3.96,4.04,3.13,3.02,3.56,4.66,2.39,2.67,3.54
a_0,15.93,11.03,14.23,12.08,15.88,,4.89,4.4,4.58,4.44,2.34,3.77,3.47,1.67,2.48,2.51
e_0,24.73,12.19,16.16,17.81,12.89,9.29,4.86,4.34,4.04,4.1,3.49,2.41,2.96,4.45,1.68,2.42
g_0,14.49,15.51,14.47,14.03,12.6,12.4,4.79,4.13,7.58,4.33,4.38,4.74,2.42,3.2,3.51,4.35
