,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,3.94,0.74,0.32,0.37,0.42,0.32,0.8,0.74,0.68,0.69,0.91,0.17,0.71,0.68,0.58,0.72
e_1,0.41,3.97,0.34,0.39,0.35,0.36,0.77,0.72,1.59,0.77,0.8,0.89,0.78,0.94,0.17,0.9
d_1,0.45,0.32,4.41,0.29,0.38,0.34,0.75,1.67,0.16,0.68,0.98,0.88,0.94,0.99,0.87,1.0
c_1,0.38,0.38,0.37,4.5,0.75,0.31,0.63,0.17,0.81,0.69,0.59,1.0,0.74,0.71,0.8,0.63
b_1,0.41,0.38,0.47,0.36,4.74,0.72,0.62,0.67,0.89,0.78,0.15,0.71,0.55,0.84,0.77,0.86
a_1,0.46,0.27,0.42,0.44,0.34,6.48,0.87,0.78,0.76,0.68,0.81,0.73,0.19,1.08,0.92,0.98
h_1,0.86,0.72,0.6,0.74,0.46,0.66,5.08,1.49,1.25,1.6,1.56,1.65,1.85,0.69,1.69,1.98
c_0,0.82,0.71,0.9,0.29,0.59,0.58,1.35,3.48,1.13,1.34,2.74,1.24,2.14,1.54,1.68,1.58
d_0,0.69,0.75,0.26,1.49,0.64,0.57,1.17,0.98,3.62,1.2,1.42,1.44,1.17,1.42,1.64,1.28
g_1,0.48,0.55,1.2,0.76,0.58,0.7,0.91,1.25,1.12,5.97,1.33,2.07,1.55,1.68,1.39,0.71
b_0,0.67,0.74,0.85,0.79,0.18,0.67,1.36,1.45,1.28,1.47,4.1,1.63,2.92,1.73,1.35,1.61
f_0,0.24,0.64,0.71,0.91,0.82,0.8,1.5,1.4,1.22,1.26,1.3,4.47,1.3,1.63,3.51,1.82
a_0,0.91,0.61,0.85,0.59,0.73,0.29,1.67,1.67,1.71,1.26,1.39,1.32,5.39,1.94,1.6,1.72
h_0,0.86,0.69,0.76,0.7,0.53,0.79,0.45,1.45,1.48,1.47,1.57,1.39,1.36,0.67,1.71,1.81
e_0,0.77,0.2,0.63,0.69,0.92,0.72,1.75,1.81,1.17,1.54,1.54,1.61,1.55,2.22,6.46,1.86
g_0,0.57,0.62,1.06,0.84,0.54,0.75,1.52,1.33,1.06,0.62,1.46,2.14,1.27,1.23,1.54,0.65
