,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.12,5.15,2.95,7.09,5.74,5.62,1.77,1.69,1.18,1.06,1.43,1.28,0.92,1.12,3.19,0.99
d_1,6.86,1.12,4.74,5.91,6.44,4.98,1.41,0.85,0.97,3.85,0.94,0.8,0.78,0.95,0.88,0.47
f_1,4.77,5.52,1.13,5.39,5.77,5.36,1.12,1.81,1.01,1.16,2.25,1.01,0.56,0.94,0.92,1.0
c_1,4.67,7.49,6.97,1.13,6.12,4.8,1.49,2.88,2.69,0.62,1.34,1.24,0.83,1.24,1.19,0.72
b_1,7.14,6.72,7.61,3.27,1.13,5.99,1.98,1.98,1.7,1.27,1.29,3.57,1.05,1.57,1.75,1.0
a_1,9.56,9.23,12.49,10.36,3.99,1.14,3.28,2.74,2.17,2.82,2.23,3.54,1.3,6.88,1.52,1.4
h_1,15.72,15.52,16.63,17.9,18.99,19.82,1.84,4.58,3.31,3.36,3.35,3.52,5.83,2.95,2.97,2.69
g_1,22.81,20.73,18.74,26.25,22.27,20.2,5.09,1.81,4.21,5.79,3.79,4.27,2.15,4.36,4.08,5.92
c_0,22.96,11.13,23.85,46.22,35.69,27.29,6.38,5.47,2.28,8.89,4.22,4.79,3.52,5.3,5.37,3.82
d_0,12.29,64.11,24.18,23.11,23.51,21.66,7.79,8.94,5.68,2.29,5.28,5.81,3.29,5.68,5.52,4.61
f_0,24.75,21.64,64.34,25.39,29.04,26.26,7.59,5.08,5.1,6.71,2.29,4.97,4.04,5.03,5.68,2.67
b_0,26.44,23.88,30.45,43.62,74.05,24.43,7.39,7.13,3.06,5.39,4.82,2.37,4.69,5.52,5.23,3.38
h_0,34.22,34.28,43.16,32.95,29.04,33.35,14.43,11.97,8.42,6.93,6.7,6.15,7.42,6.53,6.12,5.14
a_0,45.32,29.09,33.76,41.29,49.37,77.81,10.23,11.77,6.48,8.53,7.22,3.57,4.8,2.51,7.84,5.82
e_0,68.43,31.76,56.83,36.01,36.57,29.18,9.46,9.41,8.1,8.41,3.25,7.6,5.59,8.17,2.6,5.22
g_0,47.16,36.44,42.1,32.95,40.03,45.67,8.63,20.17,8.31,10.02,7.73,8.91,4.25,7.54,8.52,11.09
