,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.5,1.2,0.74,0.68,0.52,0.55,0.76,0.77,0.83,0.76,0.81,0.46,0.82,0.72,0.81,0.49
e_1,0.71,1.52,0.9,0.68,0.75,0.56,0.88,0.74,1.46,0.91,0.85,0.9,1.02,0.8,0.85,0.66
c_1,0.75,0.68,1.54,0.74,1.15,0.54,0.89,0.79,0.74,0.49,0.61,0.79,0.95,0.62,0.81,0.72
d_1,0.89,0.76,0.65,1.56,0.63,0.64,0.86,0.74,0.57,1.34,0.91,0.93,0.89,0.83,0.89,0.74
b_1,0.91,0.65,0.71,0.78,1.62,1.02,0.94,0.86,0.95,0.9,0.58,0.82,1.11,0.56,0.97,0.63
a_1,1.02,0.83,0.89,0.74,0.65,1.77,0.92,0.91,1.07,0.92,0.82,0.82,1.23,0.53,0.89,0.59
h_1,1.37,0.99,0.87,1.06,0.77,0.75,1.75,1.2,1.05,1.12,1.18,0.85,1.03,0.93,1.42,0.8
g_1,0.99,0.92,0.97,1.46,0.84,0.74,1.02,1.82,1.12,1.14,1.17,1.42,1.21,1.1,0.91,1.14
d_0,1.06,0.8,1.71,0.84,0.97,0.59,1.25,1.14,1.63,0.84,1.14,1.2,1.43,1.18,1.17,1.06
c_0,1.19,1.05,0.98,0.99,0.66,0.85,1.06,1.21,1.49,1.66,2.05,1.16,1.61,1.4,1.4,1.12
b_0,1.15,1.07,1.12,1.21,0.65,0.78,1.17,1.23,1.13,1.0,1.73,1.1,1.42,1.76,1.16,1.04
f_0,1.02,0.88,1.13,1.17,0.94,0.68,1.24,1.13,1.33,1.36,1.35,1.78,1.63,1.2,1.22,1.91
h_0,1.44,0.98,1.1,1.21,0.91,0.72,0.95,1.42,1.14,1.07,1.2,0.97,1.11,1.1,1.41,1.0
a_0,1.15,1.11,1.26,1.18,1.04,0.71,1.24,1.24,1.1,0.93,1.17,1.34,1.31,1.81,1.22,1.21
g_0,1.12,1.05,1.01,1.57,0.86,0.76,1.12,1.08,1.06,1.15,1.39,1.72,1.33,1.15,1.0,1.18
e_0,1.37,0.61,1.22,1.1,1.3,0.98,1.26,1.05,1.33,1.19,1.46,1.12,1.59,0.97,1.29,1.89
