,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.89,0.37,0.21,0.15,0.12,0.09,0.17,0.15,0.1,0.15,0.12,0.04,0.12,0.06,0.09,0.07
e_1,0.26,0.89,0.19,0.13,0.14,0.1,0.17,0.35,0.15,0.15,0.18,0.15,0.16,0.05,0.14,0.12
c_1,0.19,0.19,0.89,0.17,0.29,0.1,0.15,0.15,0.12,0.04,0.09,0.11,0.12,0.09,0.08,0.13
d_1,0.22,0.22,0.13,0.89,0.13,0.08,0.2,0.07,0.13,0.32,0.16,0.13,0.17,0.12,0.09,0.14
b_1,0.18,0.18,0.17,0.17,0.88,0.24,0.14,0.18,0.11,0.13,0.05,0.15,0.16,0.12,0.07,0.12
a_1,0.24,0.19,0.18,0.19,0.12,0.87,0.16,0.18,0.12,0.13,0.15,0.14,0.17,0.13,0.05,0.12
h_1,0.34,0.22,0.21,0.2,0.18,0.11,0.57,0.19,0.21,0.19,0.15,0.15,0.08,0.15,0.09,0.19
d_0,0.28,0.2,0.45,0.1,0.19,0.1,0.23,0.43,0.18,0.14,0.16,0.14,0.2,0.15,0.13,0.17
g_1,0.24,0.18,0.2,0.33,0.18,0.13,0.21,0.2,0.56,0.21,0.19,0.23,0.17,0.14,0.11,0.09
c_0,0.31,0.25,0.16,0.24,0.11,0.11,0.2,0.21,0.17,0.43,0.37,0.21,0.19,0.13,0.14,0.14
b_0,0.31,0.26,0.23,0.22,0.12,0.1,0.25,0.21,0.18,0.18,0.42,0.17,0.17,0.12,0.25,0.17
f_0,0.14,0.2,0.27,0.22,0.2,0.15,0.24,0.26,0.18,0.17,0.18,0.44,0.19,0.26,0.1,0.2
h_0,0.32,0.24,0.24,0.19,0.19,0.14,0.11,0.21,0.22,0.22,0.16,0.14,0.12,0.16,0.1,0.24
e_0,0.3,0.08,0.34,0.18,0.21,0.15,0.25,0.19,0.16,0.21,0.17,0.2,0.21,0.39,0.1,0.19
a_0,0.27,0.24,0.29,0.19,0.18,0.07,0.23,0.24,0.19,0.21,0.17,0.16,0.21,0.15,0.39,0.2
g_0,0.21,0.2,0.25,0.33,0.21,0.11,0.23,0.2,0.1,0.19,0.15,0.29,0.17,0.15,0.1,0.1
