,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.83,0.93,1.22,1.08,0.93,1.03,1.32,0.95,1.14,1.03,1.2,1.12,1.04,1.13,1.03
f_1,1.22,1.0,0.93,1.05,0.92,0.82,0.88,0.99,0.91,1.05,1.01,0.93,0.85,0.91,0.81,1.12
d_1,1.06,1.07,1.0,0.85,1.0,0.97,0.98,0.89,1.26,0.79,1.02,0.97,1.03,1.01,0.96,0.82
c_1,0.82,0.95,1.19,1.0,1.38,1.0,1.01,0.75,0.89,0.93,0.86,0.9,0.97,0.9,1.03,1.03
b_1,0.93,1.07,1.01,0.74,1.0,1.48,1.07,0.98,1.11,1.26,1.08,1.08,1.02,0.98,0.99,0.97
a_1,1.06,1.23,1.0,1.01,0.68,1.0,1.17,1.11,0.93,0.87,1.07,0.94,1.11,1.15,1.11,1.17
h_1,0.96,1.11,1.01,1.0,0.94,0.83,1.0,0.99,0.98,1.18,0.97,0.98,0.98,0.99,0.85,1.15
d_0,0.78,0.99,1.04,1.34,1.07,0.91,1.0,1.0,0.88,1.09,0.89,1.0,1.08,1.01,1.04,1.14
c_0,1.07,1.14,0.78,1.13,0.94,1.05,1.07,1.09,1.0,1.03,1.27,0.97,1.0,1.15,0.99,1.02
g_1,0.88,0.96,1.29,1.04,0.8,1.14,0.87,0.91,0.92,1.0,0.93,1.12,0.83,0.84,1.1,1.01
b_0,0.98,1.01,0.96,1.17,0.94,0.91,1.08,1.02,0.77,1.09,1.0,0.96,1.03,1.45,0.95,1.01
f_0,0.84,1.07,1.04,1.12,0.9,1.08,0.99,1.01,1.01,0.86,0.98,1.0,1.07,0.95,1.37,0.8
h_0,0.93,1.16,0.96,1.02,1.0,0.9,1.08,0.92,0.97,1.22,0.95,0.94,1.0,0.94,1.02,1.11
a_0,0.99,1.04,1.02,1.02,1.05,0.78,1.02,0.93,0.88,1.2,0.71,1.03,1.13,1.0,0.89,0.94
e_0,0.95,1.28,1.02,0.95,0.93,0.9,1.19,1.0,1.05,0.91,1.11,0.74,0.99,1.03,1.0,0.97
g_0,0.96,0.89,1.17,0.98,1.02,0.85,0.87,0.9,0.97,0.97,0.98,1.18,0.88,1.08,1.1,1.0
