,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.0,0.99,1.07,1.02,1.92,2.29,18.04,24.45,19.27,22.95,45.33,37.68,83.6,81.8,77.03,95.49
f_1,1.02,1.0,1.08,1.45,1.14,2.53,13.91,25.65,24.7,29.16,35.44,41.21,65.73,54.1,85.61,100.8
d_1,0.92,0.93,1.0,1.04,1.28,2.93,16.42,17.74,27.0,39.1,37.58,46.47,75.57,88.31,78.18,77.0
e_1,0.98,0.69,0.96,1.0,1.22,3.14,14.75,22.06,34.27,28.58,41.28,39.94,80.15,103.25,85.56,106.74
b_1,0.52,0.88,0.78,0.82,1.0,3.85,15.54,17.64,22.31,26.26,31.57,32.49,60.08,59.7,69.01,72.44
a_1,0.44,0.39,0.34,0.32,0.26,1.0,4.86,8.9,9.17,10.58,12.5,15.53,25.36,33.3,28.31,37.69
h_1,0.06,0.07,0.06,0.07,0.07,0.2,1.0,1.49,1.69,1.99,2.32,2.65,4.83,4.21,5.31,7.3
g_1,0.04,0.04,0.06,0.04,0.06,0.11,0.67,1.0,1.12,1.32,2.45,1.73,2.74,3.91,4.05,4.46
d_0,0.05,0.04,0.04,0.03,0.05,0.11,0.61,0.83,1.0,0.98,1.87,1.48,2.77,3.36,3.41,3.76
c_0,0.04,0.03,0.03,0.03,0.04,0.1,0.53,0.71,0.95,1.0,1.35,2.03,2.67,3.26,3.28,3.44
f_0,0.02,0.03,0.03,0.02,0.03,0.07,0.4,0.41,0.58,0.74,1.0,1.16,1.95,3.04,2.8,2.09
b_0,0.03,0.03,0.02,0.02,0.03,0.06,0.38,0.55,0.63,0.51,0.83,1.0,2.03,2.05,3.17,2.4
h_0,0.01,0.01,0.01,0.01,0.02,0.04,0.2,0.38,0.36,0.4,0.55,0.49,1.0,1.04,1.11,1.45
e_0,0.01,0.02,0.01,0.01,0.02,0.03,0.22,0.25,0.29,0.3,0.34,0.47,1.04,1.0,1.12,1.17
a_0,0.01,0.01,0.01,0.01,0.01,0.03,0.19,0.26,0.29,0.31,0.36,0.31,0.9,0.85,1.0,1.19
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.14,0.23,0.27,0.3,0.48,0.41,0.69,0.83,0.84,1.0
