,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.66,0.62,0.46,0.78,0.65,0.69,0.91,0.82,1.86,0.88,0.92,0.91,1.04,0.88,0.45,0.91
f_1,1.03,2.74,0.53,0.61,0.57,0.47,0.79,0.69,0.94,0.86,1.05,0.4,0.97,0.82,0.67,1.08
d_1,0.63,0.68,3.15,0.4,0.49,0.58,1.01,0.89,0.34,1.97,1.16,1.06,1.02,1.18,1.1,0.9
c_1,0.56,0.6,0.62,3.19,1.14,0.41,0.89,0.78,0.73,0.23,0.77,1.03,0.82,0.9,1.07,0.86
b_1,0.55,0.56,0.73,0.74,3.44,1.12,0.73,0.95,0.84,0.67,0.34,0.93,0.9,0.64,1.03,0.83
a_1,0.56,0.74,0.72,0.58,0.49,5.32,0.99,0.9,0.82,0.98,0.87,1.21,1.09,0.36,0.9,1.06
h_1,0.61,1.02,0.8,0.77,0.68,0.78,2.99,1.49,0.81,0.99,1.13,1.06,0.63,1.14,1.16,1.52
g_1,0.59,0.69,1.28,0.72,0.49,0.64,1.05,3.78,0.85,1.05,1.11,1.87,1.04,1.01,1.36,0.73
d_0,0.64,0.76,0.33,1.46,0.85,0.7,1.2,1.26,2.22,0.83,1.0,1.06,1.16,1.19,1.13,1.06
c_0,0.71,0.93,0.84,0.49,0.6,0.64,1.28,1.16,1.04,2.28,2.24,1.12,1.33,1.6,1.61,1.26
b_0,0.83,0.81,0.84,0.73,0.38,0.62,1.2,1.26,1.11,1.09,2.72,0.95,1.23,2.86,1.12,1.31
f_0,0.6,0.49,1.13,0.77,0.73,0.77,1.14,1.26,0.96,1.23,1.32,2.96,1.41,1.11,2.45,1.26
h_0,0.72,1.1,0.73,0.74,0.87,0.56,0.65,1.52,1.18,1.18,1.08,1.1,0.64,0.86,1.1,1.73
a_0,0.79,0.79,0.97,0.67,0.61,0.47,0.97,1.31,0.95,1.28,1.16,0.96,1.38,3.72,1.33,1.33
e_0,0.42,0.91,0.75,0.75,0.85,0.84,1.3,1.13,1.1,1.32,1.4,1.02,1.57,1.27,3.6,1.08
g_0,0.82,0.6,1.12,0.75,0.68,0.71,1.1,0.81,1.0,0.97,1.13,1.74,1.09,1.37,1.26,0.78
