,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.83,1.16,1.59,2.12,2.88,19.22,30.8,41.59,29.41,46.25,46.53,74.81,99.05,122.82,117.27
f_1,1.19,1.0,1.08,1.33,1.8,2.76,16.38,30.6,31.87,30.66,38.11,42.63,63.05,72.87,104.98,103.37
d_1,0.88,0.91,1.0,1.16,1.48,2.37,16.06,20.95,27.08,32.66,35.54,38.8,58.78,76.47,75.78,88.03
c_1,0.62,0.76,0.89,1.0,1.89,2.43,14.13,22.18,17.3,19.84,27.69,26.05,52.35,63.26,73.78,78.22
b_1,0.47,0.55,0.67,0.52,1.0,2.25,11.44,18.29,15.15,18.39,21.26,19.75,38.46,52.63,53.95,48.29
a_1,0.35,0.36,0.42,0.4,0.45,1.0,6.67,10.63,10.33,10.71,13.72,15.53,24.61,27.84,35.17,34.27
h_1,0.05,0.06,0.06,0.07,0.09,0.15,1.0,1.81,1.63,1.61,2.01,2.13,3.91,4.74,5.61,5.39
g_1,0.03,0.03,0.05,0.04,0.05,0.1,0.57,1.0,1.06,1.04,1.75,1.44,1.95,3.07,3.68,3.71
d_0,0.02,0.03,0.04,0.06,0.07,0.09,0.62,0.92,1.0,0.77,1.32,1.29,2.17,3.2,3.58,3.69
c_0,0.03,0.03,0.03,0.05,0.05,0.09,0.64,0.97,1.27,1.0,1.39,1.81,2.3,2.91,3.1,4.45
f_0,0.02,0.03,0.03,0.04,0.05,0.07,0.49,0.57,0.77,0.71,1.0,1.07,1.73,3.08,2.21,2.56
b_0,0.02,0.02,0.03,0.04,0.05,0.07,0.46,0.71,0.81,0.56,0.95,1.0,1.76,2.3,2.38,3.67
h_0,0.01,0.02,0.02,0.02,0.03,0.04,0.26,0.52,0.45,0.43,0.57,0.57,1.0,1.2,1.7,1.47
e_0,0.01,0.01,0.01,0.02,0.02,0.04,0.22,0.33,0.31,0.33,0.34,0.44,0.79,1.0,0.97,1.14
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.18,0.26,0.28,0.31,0.47,0.4,0.58,0.95,1.0,1.06
a_0,0.01,0.01,0.01,0.01,0.02,0.03,0.18,0.27,0.29,0.22,0.39,0.28,0.66,0.89,0.97,1.0
